question,answer,first_wrong_answer,second_wrong_answer,third_wrong_answer
When may a player activate a loyalty ability of a permanent they control?,"Any time they have priority and the stack is empty during a main phase of their turn, provided none of that permanent’s loyalty abilities have been activated that turn.",Only during the combat phase.,Only if the permanent has no other abilities.,Any time the stack is not empty.
How many times per turn can a player activate the loyalty abilities of a single planeswalker?,Only once per turn per planeswalker.,As many times as they like.,Twice per turn.,Only during the opponent’s turn.
What must be true about the stack for a player to activate a loyalty ability?,The stack must be empty.,The stack must have at least one spell on it.,The stack can contain one card of a specific type.,The stack must contain a loyalty ability of another planeswalker.
What did the former redirection effect allow when non‑combat damage was dealt to an opponent?,It let the player redirect that damage to a planeswalker they controlled instead of the opponent.,It forced the opponent to lose a life total equal to the damage.,It automatically increased the opponent’s loyalty counters by the damage amount.,It caused the damage to be ignored entirely.
What change was made to the rule involving planeswalkers and non‑combat damage?,"The redirection effect was removed, so such damage is now dealt directly to planeswalkers.",The rule was updated to give planeswalkers additional life equal to the damage.,Planeswalkers were made immune to all non‑combat damage.,The rule now requires the opponent to sacrifice a planeswalker before taking damage.
What happens when a planeswalker is dealt damage?,An equal number of loyalty counters are removed from it.,It gains that many loyalty counters.,It becomes tapped.,It is exiled.
"If a planeswalker receives 4 points of damage, how many loyalty counters are taken off of it?",Four loyalty counters.,Two loyalty counters.,No loyalty counters are changed.,It gains four loyalty counters.
Under what conditions can a player cast a sorcery card from their hand?,"The player must have priority, it must be a main phase of their turn, and the stack must be empty.","The player must have priority, it must be the combat phase, and the stack must be empty.","The stack must be empty, but the sorcery may be cast at any time.",The player may cast a sorcery during the opponent’s turn.
Which of the following correctly describes when a sorcery can be cast?,"Only during a main phase, when the player has priority and the stack is empty.","Only during the combat phase, regardless of the stack.","At any time during the turn, as long as the player has priority.",Whenever the stack contains one or more spells.
"When a sorcery is cast, what mechanic does it use?",The stack,The battlefield,The graveyard,The library
What happens to a sorcery card after its effects have resolved?,It is put into its owner's graveyard.,It remains on the battlefield.,It returns to the player's hand.,It is exiled.
"When a sorcery resolves, after its rules text actions are followed, where does the card go?",Its owner's graveyard.,Its owner's library.,The stack.,The battlefield.
How are sorcery subtypes formatted on a card?,"After the word Sorcery, separated by a long dash, each subtype is a single word.","After the word Sorcery, separated by a short dash, each subtype can be multiple words.","After the word Sorcery, separated by a comma, each subtype is a single word.","After the word Sorcery, each subtype is written before the dash."
Do sorcery subtypes share the same set as instant subtypes?,"Yes, they are the same set of spell types.","No, sorcery subtypes are unique to sorceries.","They overlap only partially, sharing some but not all subtypes.",Sorcery subtypes are unrelated to instant subtypes.
Can a sorcery have multiple subtypes?,"Yes, a sorcery may have multiple subtypes.","No, a sorcery can have only one subtype.",Sorceries can have subtypes only if they are also instants.,Sorceries never have subtypes; only basic types apply.
What are spell types?,"Spell types are the set of instant subtypes, which also apply to sorcery subtypes.",Spell types are creature types.,Spell types are land categories.,Spell types are artifact types.
Can a sorcery spell have more than one subtype?,"Yes, sorceries may have multiple subtypes.","No, sorceries can only have one subtype.",Sorceries cannot have any subtypes.,Sorceries can only have subtypes if they are hybrid.
Where can you find the complete list of spell types?,Rule 205.3k,Rule 305.3k,Rule 205.3a,Rule 307.3
Can sorceries enter the battlefield?,"No, sorceries cannot enter the battlefield","Yes, sorceries can enter the battlefield if the stack is empty","Yes, sorceries enter during combat","Yes, but only if cast during a non‑main phase"
"If a sorcery would enter the battlefield, what happens?",It remains in its previous zone,It enters as a creature,It becomes a permanent,It is exiled
What happens if a sorcery would enter the battlefield?,It remains in its previous zone instead.,It enters the battlefield as a creature.,It is exiled immediately.,It is put into the graveyard.
What must be true for a player to perform an action that states “any time they could cast a sorcery”?,"The player must have priority, it must be the main phase of their turn, and the stack must be empty.",The player must have a sorcery card in hand that they could cast.,"The action can be performed at any time, even during combat or if the stack is full.",The action is only allowed after the player has cast a sorcery in that turn.
Does a player need to possess a sorcery card in hand to be able to perform an action that says “any time they could cast a sorcery”?,No; the player does not need to have a sorcery card.,Yes; the player must have at least one sorcery card in hand.,Only if the action is in response to a sorcery being cast.,Only if the player has already cast a sorcery earlier in the same turn.
"If an effect prevents a player from casting sorcery spells, can the player still perform an ability that says “only as a sorcery”?","Yes, unless the ability actually involves casting a sorcery spell.","No, the effect also prevents the ability from being performed.",Only if the effect is removed before the ability resolves.,"Only during the opponent’s main phase, regardless of the effect."
Does a player have to possess a sorcery card in hand to cast a spell that can be cast “any time they could cast a sorcery”?,"No, the player does not need to have a sorcery card they could cast.","Yes, the player must have a sorcery card in hand.",The player must be able to cast a sorcery on their next turn.,The player must have a sorcery in play.
What are the conditions that must be satisfied for a spell to be cast “any time they could cast a sorcery”?,"The player must have priority, it must be during the main phase of their turn, and the stack must be empty.",The player must have a sorcery card in hand.,The spell must target a creature.,The player must have no other spells on the stack.
Do effects that prevent casting a sorcery affect the player's ability to perform an action that says 'any time they could cast a sorcery'?,"No, unless the action is actually casting a sorcery spell.","Yes, the effect always applies.","Yes, but only if the player has a sorcery card.","No, the effect also applies if the stack is not empty."
What are the conditions for performing an action that says 'only as a sorcery'?,"The player must have priority, it must be during the main phase of their turn, and the stack must be empty.",The player can act anytime they have a sorcery card in hand.,The action can be taken on any phase of any player’s turn.,"The player only needs to have a spell they could cast, regardless of priority or phase."
"What conditions must be met for a spell to be considered ""any time a sorcery couldn’t have been cast""?","It was cast without having priority, during a phase other than the controller’s main phase, or while another object was on the stack.",It was cast during the controller’s main phase with priority.,It was cast on an opponent’s turn but during the main phase.,It was cast during a phase where priority was present and no other object was on the stack.
"If a player casts a spell during combat without priority, does that spell count as ""any time a sorcery couldn’t have been cast""?","Yes, because it was cast without priority.","No, because it was cast during combat.","No, because only spells cast during the main phase count.","No, because it must be cast while another object is on the stack."
What rule applies when casting and resolving a kindred card?,it follows the rules for casting and resolving a card of the other card type.,it follows the rules for the card's mana cost.,it follows the rules for spells of the other card type.,it follows the rules for all enchantments.
Where are kindred subtypes indicated on a card?,"after a long dash in the card’s type line, e.g., “Kindred Enchantment — Merfolk.”",at the bottom of the card.,in the card’s text box.,in the card’s flavor text.
What are kindred subtypes equivalent to?,creature types.,Magic: The Gathering keywords.,card abilities.,mana symbols.
How does a Kindred card cast and resolve?,It follows the rules for casting and resolving a card of its other card type.,It always requires an additional mana cost.,It cannot be countered by a counterspell.,"It resolves instantly, regardless of timing."
What do kindred subtypes share with creature subtypes?,Creature types,Planeswalkers,Artifacts,Spells
After what symbol are kindred subtypes listed on a card?,A long dash,A colon,An asterisk,A slash
How many words are kindred subtypes typically?,A single word,Two words,Three words,Four words
Can kindred cards have multiple subtypes?,Yes,No,Only one,Only two
How many subtypes can a kindred card have?,It may have multiple subtypes.,It can have only one subtype.,It cannot have any subtypes.,It must have exactly three subtypes.
Where can you find the complete list of creature types that can be used as subtypes for kindred cards?,Rule 205.3m.,Rule 312.1.,Rule 101.1.,Rule 110.4.
What card type were some older Kindred cards printed with?,tribal,artifact,creature,enchantment
"When a player ventures into the dungeon and does not have a dungeon card in the command zone, what must they do?",Choose a dungeon card they own from outside the game and put it into the command zone.,Draw a dungeon card from their deck.,Sacrifice a creature to obtain a dungeon card.,Place a dungeon card from the opponent’s sideboard into the command zone.
Which of the following is true regarding the casting of dungeon cards?,Dungeon cards cannot be cast.,Dungeon cards can be cast by paying an additional mana cost.,Dungeon cards may be cast only during the main phase.,Dungeon cards are cast as spells from the command zone.
Can a dungeon card be cast as a spell?,"No, dungeon cards cannot be cast.","Yes, they can be cast as any other card.",They can only be cast during the opponent’s turn.,They can be cast only if the player has a matching commander.
Do dungeon cards count as permanents on the battlefield?,"No, dungeon cards are not permanents.","Yes, they are treated as permanents when in the command zone.",They become permanents after the first turn.,They are considered permanents only if they are in the hand.
Can a dungeon card leave the command zone without leaving the game?,"No, dungeon cards can leave the command zone only when they leave the game.","Yes, they can be moved to the graveyard.",They can be transferred to another player’s command zone.,They can be put into a player’s hand from the command zone.
Can a dungeon card be cast during a turn?,"No, dungeon cards cannot be cast.","Yes, they can be cast as normal spells.",They can only be cast if the player has no other cards.,They can be cast only as instant spells.
Under what circumstance can a dungeon card leave the command zone?,Only when it leaves the game.,It can leave the command zone by being sacrificed.,It can leave the command zone by being moved to the graveyard.,It can leave the command zone by tapping it.
How many dungeon cards can a player own in the command zone at a time?,Only one,Two,Zero,Unlimited
What is prohibited if a player already owns a dungeon card in the command zone?,They cannot bring another dungeon card into the game,They cannot leave the command zone,They cannot use the dungeon card,They cannot see the dungeon card
What indicates the room a player is currently in on their dungeon card?,The venture marker,The topmost room indicator,The dungeon card owner,The command zone status
"When a dungeon card a player owns is placed into the command zone, where should the player’s venture marker be positioned?",On the topmost room.,On the bottommost room.,On the next room after the topmost.,Not placed on the card at all.
Do the names given to each room on a dungeon card influence gameplay?,"No, they are flavor text and have no effect.","Yes, they determine the trigger order of room abilities.","Yes, they must be matched with a keyword ability.","Yes, they affect the number of cards you can draw."
Do the names of rooms on a dungeon card influence gameplay?,"No, the names are considered flavor text and do not affect gameplay.","Yes, they determine which triggers activate.",They set the cost to enter each room.,They dictate how many adventure cards you can draw.
What triggers a room ability?,When you move your venture marker into this room.,When you draw a card.,When a creature dies.,When a spell is cast.
Under what condition can a dungeon card’s abilities trigger?,As long as the dungeon card is in the command zone.,As long as the dungeon card is in the graveyard.,As long as the dungeon card is in the library.,As long as the dungeon card is in the hand.
Who controls a room ability?,The player who owns the dungeon card that is the ability’s source.,The player who moved the venture marker into the room.,The active player of the turn.,The opponent.
What does the “venture into the dungeon” keyword action allow a player to do?,It lets the player move their venture marker down the rooms of a dungeon card.,It summons a creature from the graveyard.,It deals damage equal to the number of rooms in the dungeon to the opponent.,It lets the player draw an additional card at the start of their turn.
Which keyword action enables players to move their venture marker down the rooms of a dungeon card?,The venture into the dungeon keyword action.,The move marker action.,The room entry action.,The dungeon advancement action.
"If a player ventures into the dungeon while owning a dungeon card in the command zone and their venture marker isn’t on that dungeon’s bottommost room, what must they do?","Move their venture marker to the next room, following the direction of an arrow pointing away from the room they are on (choosing one arrow if multiple arrows point away).",Move the venture marker to the previous room.,Move the venture marker to the bottommost room.,Move the venture marker to a random room.
"If there are multiple arrows pointing away from the room the venture marker is on, what must the player do?",Choose one of the arrows to follow.,Must follow all arrows.,Must choose the longest arrow.,Must not move the venture marker.
What must a player do when multiple arrows point away from the room the venture marker is on?,choose one of them to follow,follow all of the arrows,move to the bottom‑most room,remove the dungeon card from the game
When does a player have to decide which arrow to follow?,when there are multiple arrows pointing away from the room the venture marker is on,when the dungeon card is in the command zone,when the venture marker is on the bottom‑most room,when the player ventures into the dungeon for the first time
What action must a player take when they venture into a dungeon and their venture marker is on that dungeon’s bottommost room?,They remove that dungeon card from the game.,They shuffle the dungeon card back into their deck.,They leave the dungeon card in play and simply move their venture marker to the next room.,They sacrifice a creature to the graveyard.
"After a player removes a dungeon card because their venture marker was on its bottommost room, what do they do next?","They choose a dungeon card they own from outside the game, put it into the command zone, and place their venture marker on the topmost room.",They put the removed dungeon card back into the command zone.,They draw a card from the top of their library.,They lose three life points.
"After a player removes a dungeon card from the game because their venture marker was on its bottommost room, what must they do next?","choose a dungeon card they own from outside the game and put it into the command zone, then put their venture marker on the topmost room",choose a dungeon card from an opponent’s command zone and put it into the command zone,immediately win the game as a reward for completing the dungeon,move their venture marker to the bottommost room of the same dungeon card again
"When a player selects a new dungeon card after removing the previous one, where does their venture marker go?",to the topmost room of the new dungeon card,back to the bottommost room of the previous dungeon card,to a random room within the dungeon chosen from the outside of the game,"off the board, leaving the player without a venture marker until the next turn"
When does a dungeon card get removed from the game according to rule 309.6?,When a player’s venture marker is on the bottommost room of that dungeon card and the card is not the source of a room ability that has triggered but not yet left the stack.,When the dungeon card is destroyed by combat.,When a player discards the dungeon card from hand.,When the dungeon card is revealed to the opponent.
What type of action is described in rule 309.6?,A state‑based action.,A triggered ability.,A static ability.,A replacement effect.
"If a dungeon card’s venture marker is on the bottommost room, but the card is the source of a room ability that has triggered and is on the stack, what happens?",It is not removed from the game until the ability leaves the stack.,It is removed immediately.,It is put into the graveyard.,It remains in the command zone.
What happens when a player casts a battle card in Magic: The Gathering?,It uses the stack.,It is placed directly onto the battlefield.,It resolves immediately as a creature.,It becomes an artifact instead.
What formatting rule applies to battle subtypes on Magic: The Gathering cards?,"Battle subtypes are always a single word and listed after a long dash, for example “Battle — Siege.”",Battle subtypes are multiple words separated by commas.,Battle subtypes appear before the card name.,Battle subtypes are written in all caps.
What other term can be used interchangeably with “battle subtype”?,Battle type,Battle keyword,Battle ability,Battle characteristic
What characteristic do battle cards have that determines how many defense counters they enter the battlefield with?,defense,attack,toughness,resilience
How is the defense of a battle card determined when it is not on the battlefield?,The defense is equal to the number printed in its lower right corner.,The defense is equal to the number of defense counters it would have if it were on the battlefield.,The defense is equal to the number printed in the upper left corner.,The defense is determined by the power of the player who controls the card.
What is the defense of a battle on the battlefield equal to?,The number of defense counters on it.,The number printed in the lower right corner of the card.,The amount of damage it has taken.,A constant value of 3.
"When defense counters are removed from a battle, what happens to its defense?",Its defense decreases by the number of counters removed.,Its defense stays the same.,Its defense increases by the number of counters removed.,It becomes irrelevant to combat.
What happens when damage is dealt to a battle?,The number of defense counters removed equals the damage dealt,The battle is destroyed immediately,The battle gains a +1/+1 counter,The battle is tapped
How many defense counters are removed from a battle when damage is dealt to it?,The same number of counters as the damage dealt,"One counter, regardless of damage",Twice the amount of damage dealt,Half the amount of damage dealt
What happens to a battle when its defense reaches zero and it is not the source of a triggered ability that hasn't left the stack?,It is put into its owner’s graveyard.,It is returned to its owner’s hand.,It gets an extra defense counter.,It becomes tapped.
Which player chooses the protector of a battle when it enters the battlefield?,The battle’s controller,The game judge,The first player to cast the battle,The opponent of the controller
What determines which players may be chosen as the protector of a battle?,The battle type,The number of players in the game,The color of the battle’s controller,The mana cost of the battle
When does a battle’s controller automatically become its protector?,When the battle has no battle types.,When the battle first enters the battlefield.,When the battle has at least one battle type.,When the battle is declared as a special event.
Who makes the choice of a battle’s protector as it enters the battlefield?,The battle’s controller.,The defending player.,Any player who has a creature on the battlefield.,The player with the most life points.
Which players can be selected as a battle’s protector?,Those players determined by the battle’s type.,Any player in the game.,Only the battle’s controller.,Only the player who cast the battle.
"When a battle has no battle types, who becomes its protector?",Its controller becomes its protector.,Its controller’s opponent becomes its protector.,It has no protector at all.,Its owner becomes its protector.
Can a battle’s protector ever attack that battle?,"No, a battle’s protector can never attack it.","Yes, a battle’s protector can attack it only if the battle is a Siege.","Yes, a battle’s protector can attack it during the combat step.","Yes, but only if the protector is a planeswalker."
Under what condition can a Siege battle be attacked by its own controller?,"When the battle is a Siege, it can be attacked by its own controller.",Only if the controller also has a defensive stance.,Only if the controller has paid an additional mana cost.,Only if the battle is not protected by another player.
Under what condition can a battle be attacked?,A battle can be attacked by any attacking player for whom its protector is a defending player.,By any attacking player regardless of who the protector is.,Only by the battle’s protector.,By any player who controls the battle.
Can a player attack a battle they control?,"Yes, if the battle is a Siege battle.","No, you can never attack your own battle.","Yes, you can always attack your own battle.",Only if the battle has no protector.
Which player’s creatures may block attackers targeting a battle?,The battle’s protector may block with creatures they control.,The battle’s controller may block with creatures they control.,Any player may block with any creature they control.,No one may block a battle.
Can creatures controlled by a player other than the battle’s protector block attackers to that battle?,"No, creatures controlled by other players cannot block those attackers.","Yes, any player’s creatures can block any attacker.",Only the battle’s controller’s creatures can block.,Only creatures with the “defender” keyword can block.
Which creatures are prohibited from blocking attackers in a Siege battle?,Creatures controlled by other players cannot block those attackers.,Creatures controlled by the attacking player can block.,All creatures can block regardless of controller.,Only creatures controlled by the battle’s protector can block.
How many protectors can a battle have at one time?,Only one protector,Two protectors,Three protectors,Any number of protectors
What occurs to a battle’s protector if another player becomes its protector?,The former protector stops being the protector,The former protector is replaced by a copy of the new protector,The battle loses all protectors permanently,Nothing changes; the battle keeps both protectors simultaneously
What happens to a battle’s protector when the battle stops being a battle?,The protector does not change.,The protector changes to the new owner’s protector.,The protector becomes null.,The protector changes to the creature that created the battle.
What happens to a battle’s protector when the battle becomes a copy of another battle?,The protector does not change.,The protector changes to the new owner’s protector.,The protector becomes null.,The protector changes to the creature that created the battle.
What is the rule regarding attaching a battle to other objects?,"No, a battle can’t be attached to players or permanents, even if it is also an Aura, Equipment, or Fortification.","Yes, a battle can be attached to a permanent if it is an Aura.","Yes, a battle can be attached to a permanent if it is a fortification.","No, a battle can only be attached to other battles, not to players or permanents."
What occurs if a battle is found attached to a permanent?,It becomes unattached (a state‑based action).,It stays attached until the battle is destroyed.,It gains the properties of the permanent it is attached to.,It turns into a different type of permanent.
What happens to a battle if it becomes attached to a permanent?,"It becomes unattached, as a state‑based action.",It remains attached and can damage the permanent.,The battle is exiled immediately.,The permanent gains the battle’s abilities.
Can a battle be attached to a player or a permanent in the game?,"No; if it somehow becomes attached, it is immediately made unattached.","Yes, and it can then be used as an aura.","Yes, but only if it is also an equipment.","It can be attached only to creatures, not to players."
Who decides on a suitable protector when a battle that isn’t being attacked has no player designated as its protector?,Its controller chooses an appropriate player to be its protector.,A random player is assigned as protector.,The defending player chooses a protector.,The game automatically assigns the nearest creature as protector.
What happens if no player can be chosen to be the protector of a battle?,The battle is put into its owner’s graveyard.,The battle is returned to its owner’s hand.,The battle stays on the battlefield with no protector.,The battle transforms into a different type.
Under what circumstance does the controller need to select a protector for a battle?,If the battle has no player designated as its protector or its current protector cannot be its protector based on its battle type.,If the battle is being attacked.,If the battle is on the battlefield during the main phase.,If the battle’s owner loses life.
"If no player can be chosen as the protector of a battle, what happens to that battle?",It is put into its owner’s graveyard.,It is exiled.,It is returned to its owner's hand.,It remains on the battlefield.
What subtype do all currently existing battles have?,Siege,Assault,Defense,Fortress
"When a Siege enters the battlefield, what must its controller do regarding its protector?",choose a protector from among their opponents,choose a protector from among all permanents on the battlefield,choose a protector from among their own creatures,choose no protector and let the Siege go to the graveyard
Who is eligible to be the protector of a Siege?,an opponent of the Siege’s controller,any player in the game,any permanent under the controller’s control,the Siege itself
Is it possible for a Siege to enter the battlefield without a protector?,"No, it must always have a protector chosen from among opponents","Yes, it can enter without a protector and stay on the battlefield","Yes, it can enter without a protector and then choose one later","Yes, it can enter without a protector and immediately be exiled"
Who can be chosen as a protector for a Siege?,Only an opponent of the Siege’s controller.,Only the Siege’s controller.,"Any player, regardless of relationship.",No player can be a protector; it is chosen randomly.
Can a plane card be cast as a spell during a game?,"No, plane cards cannot be cast.","Yes, they can be cast just like any other card.",They are automatically activated when a player lands on them.,They can be sacrificed to pay for other spells.
What happens to a plane card if a rule would normally cause it to leave the command zone?,It remains in the command zone.,It goes to the graveyard.,It is shuffled back into the player's library.,It is exiled to the exile zone.
Which of the following best describes plane cards in terms of permanents?,Plane cards are not permanents.,Plane cards are permanents that always stay on the battlefield.,Plane cards are a type of artifact permanent.,Plane cards are creature permanents that can attack.
How are plane subtypes listed on a plane card?,"After a long dash, e.g., “Plane — Serra’s Realm”",After a short dash,In parentheses after the card name,Before the card’s title
How many planar subtypes can a single plane card possess?,Only one,Two,Three,Zero
What collective term is used for plane subtypes?,Planar types,Plane types,Subtypes,Planar subtypes
"What condition must be met for a plane card’s static, triggered, and activated abilities to affect the game?",The plane card is face up in the command zone.,The plane card is in the graveyard.,The plane card is tapped.,The plane card is in the battlefield zone.
Who is designated as the planar controller of a face‑up plane card?,The player designated as the planar controller,The active player,The player who cast the plane card,The player who has the most planeswalkers in play
What happens if the current planar controller would leave the game?,"The next player in turn order that wouldn’t leave the game becomes the planar controller, then the old planar controller leaves the game",The old planar controller remains as planar controller until someone else leaves the game,A new planar controller is chosen randomly from all remaining players,The game ends immediately
"Under normal circumstances, who is the planar controller of a face‑up plane card?",The active player,The player who last cast a planar spell,The player with the highest life total,The player who has the most cards in hand
"If the current planar controller would leave the game, who becomes the planar controller?",The next player in turn order that wouldn’t leave the game,The active player,A random player not currently in turn order,The old planar controller stays until the game ends
"When a new planar controller is selected because the current one would leave the game, what happens to the old planar controller?",They leave the game,They keep control of the plane,They become the active player,They are replaced by a token with planar‑controller status
What happens to a face‑up plane card that is turned face down during gameplay?,It becomes a new object.,It is destroyed.,It remains a plane card but is moved to the graveyard.,It turns into a land.
What does the chaos symbol to the left of an ability on a plane card indicate?,"That the ability is a chaos ability, which triggers 'Whenever chaos ensues.'",That the ability has no cost.,That the ability can only be used by the controller.,That the ability deals damage to all opponents.
What is the trigger condition for a chaos ability on a plane card?,Whenever chaos ensues,When the plane card is turned face down,When a creature attacks,When the active player passes their turn
How is a chaos ability referred to in the rules?,Chaos ability,Plane ability,Triggered effect,Chaos spell
What symbol indicates that a plane card’s ability is a chaos ability?,A chaos symbol to the left of the ability,An exclamation point after the ability text,A green border around the ability text,A black line beneath the ability text
What conditions cause a chaos ability on a plane card to trigger?,"If the chaos symbol is rolled on the planar die, if a resolving spell or ability says that chaos ensues, or if a resolving spell or ability states that chaos ensues for a particular object.",If the card is simply drawn from the planar deck.,If the card is in a player's graveyard.,If the card is tapped during a combat phase.
Can a chaos ability trigger when its plane card is still in the planar deck but revealed?,"Yes, it can trigger even if the plane card is still in the planar deck but revealed.","No, it can only trigger when the card is in play.",It only triggers if the card is in the graveyard.,It only triggers if the card is in exile.
Who controls a chaos ability once it triggers?,The current planar controller.,The owner of the plane card.,The player who first drew the card.,The game's arbiter.
Can a chaos ability trigger even if the plane card is still in the planar deck but revealed?,Yes – it can trigger if a resolving spell or ability says that chaos ensues for that particular object.,"No, it can only trigger after the plane card has been played.",It triggers only when the plane card is in the graveyard.,It triggers only when the plane card is in a player's hand.
Under what circumstance does a chaos ability trigger while the related plane card remains in the planar deck?,When a resolving spell or ability states that chaos ensues for that particular object.,When the plane card has already been revealed and then removed from the deck.,When the plane card is in the command zone.,When the plane card is in a sideboard.
What type of card is a phenomenon?,It is a card type seen only on nontraditional Magic cards.,It is a creature type used in Standard format.,It is a sorcery that can be cast from the graveyard.,It is a land type that can be activated for mana.
Which variant of Magic uses phenomenon cards?,The Planechase casual variant.,Commander.,Modern.,Standard.
Where do phenomenon cards remain throughout the game?,In the command zone,In the battlefield,In the graveyard,In the library
Are phenomenon cards considered permanents?,"No, they are not permanents","Yes, they are permanents",They are tokens,They are spells
Can a player cast a phenomenon card?,"No, they can’t be cast","Yes, they can be cast as a sorcery",They can be cast as a creature,They can be cast when they are face down
What happens if a phenomenon card would leave the command zone?,It remains in the command zone,It goes to the graveyard,It goes to the exile zone,It gets shuffled into the library
What action is not allowed with a Phenomenon card?,It cannot be cast.,It can be tapped.,It can be sacrificed.,It can be moved to a library.
What occurs if a Phenomenon card would leave the command zone?,It remains in the command zone.,It goes to the graveyard.,It is exiled.,It becomes a permanent on the battlefield.
Who is normally the planar controller of a phenomenon card?,The active player.,The player who owns the phenomenon card.,The player who cast the phenomenon last.,The player with the highest life total.
"If the current planar controller of a phenomenon card would leave the game, who becomes the new planar controller?",The next player in turn order that wouldn’t leave the game,The player who has the most life total,A random player among those who would leave the game,The previous planar controller remains in control
What occurs when you encounter a phenomenon card?,Its triggered ability activates.,It gets tapped.,It is put into the graveyard.,It triggers when you cast it.
Which action causes the triggered ability of a phenomenon card to trigger?,Encountering the card (moving it from a planar deck and turning it face‑up).,Casting the card from your hand.,Returning the card to a planar deck.,Tapping the card during your main phase.
"When a face‑up phenomenon card is turned face down, what does it become?",It becomes a new object.,It is removed from play.,It remains the same object.,It turns into a creature.
Under what circumstances does a planar controller planeswalk according to rule 312.7?,When a phenomenon card is face‑up in the command zone and it isn’t the source of a triggered ability that has triggered but not yet left the stack.,When the phenomenon card is face‑down in the command zone.,When the phenomenon card is face‑up on the battlefield.,When the planar controller has no other cards in the command zone.
What state‑based action occurs if a phenomenon card is face‑up in the command zone and is not the source of a triggered ability that has triggered but not yet left the stack?,The planar controller planeswalks the next time a player would receive priority.,The phenomenon card is destroyed and sent to the graveyard.,The command zone is cleared of all cards.,Nothing happens; the game continues as normal.
What rule number governs state‑based actions?,704.,702.1,701.31,705.5
What action does the planar controller perform according to the highlighted rule?,Planeswalk.,Cast a spell.,Sacrifice a creature.,Draw a card.
What is the Vanguard card type?,A card type seen only on nontraditional Magic cards,A creature type that can’t be targeted,A planeswalker type that gains abilities when it dies,A land type that produces mana
Which Magic variant uses Vanguard cards?,The Vanguard casual variant,Standard Magic,Commander,Modern
Where do Vanguard cards stay during a game?,The command zone throughout the game,The battlefield until they leave the battlefield,The graveyard until they are returned to the hand,The library until they are drawn
What happens if a vanguard card would leave the command zone?,It remains in the command zone.,It is discarded to the hand.,It is exiled to the outside of the game.,It moves to the graveyard.
Which of the following best describes the state of a Vanguard card’s abilities while it remains in the command zone?,"Its static abilities affect the game, its triggered abilities may trigger, and its activated abilities may be activated.","Its static abilities affect the game, but its triggered and activated abilities are inactive.",Only its activated abilities can be used while it stays in the command zone.,It has no abilities that can influence the game while in the command zone.
Can a Vanguard card’s activated abilities be used while the card is in the command zone?,"Yes, they may be activated.","No, activated abilities are blocked until the card leaves the command zone.",Only if the card is face‑down can its activated abilities be used.,Activated abilities can be used only during the owner’s next turn.
Who is considered the owner of a Vanguard card?,The player who started the game with it in the command zone.  The opponent who takes control of it during combat.  The player who draws it as a card from the library.  The player who pays the mana cost to cast it.,The opponent who takes control of it during combat.,The player who draws it as a card from the library.,The player who pays the mana cost to cast it.
