question,answer,first_wrong_answer,second_wrong_answer,third_wrong_answer
What happens when a card’s text directly contradicts the official rules?,The card takes precedence.,The rule takes precedence over the card.,Both the card and the rule are ignored.,The game is replayed from the beginning.
Which action remains allowed even when a card’s text overrides the rules?,A player can concede the game at any time.,A player must redraw a new card.,The game must be paused for a rule review.,The card must be discarded immediately.
Which rule takes precedence when a card’s text directly contradicts the Golden Rules?,The card’s text overrides the rule for that specific situation.,The Golden Rules override the card’s text in all cases.,"Both the card and the rule are equally valid, and the player chooses.",The rule that appears first in the rulebook wins.
What is the only exception to the rule that a card’s text overrides the Golden Rules?,A player can concede the game at any time.,A player must concede when the opponent is winning.,A player can only concede after their opponent’s turn.,A player can only concede if they are in a multiplayer format.
When can a player concede the game?,A player can concede the game at any time.,A player can only concede the game at the end of a turn.,A player can only concede the game after both players have cast a spell.,A player can only concede the game when their life total drops below 10.
"When a rule or effect allows or directs something to happen, and another effect states that it can’t happen, which effect takes precedence?",The “can’t” effect takes precedence.,The “allow” effect takes precedence.,Both effects are considered equally and a tie‑break rule is applied.,The earlier‑declared effect takes precedence.
Does adding an ability to an object fall under rule 101.2?,"No, they do not.","Yes, they do.",Only if the ability is static.,Only if the object is a creature.
Does removing an ability from an object fall under rule 101.2?,"No, they do not.","Yes, they do.",Only if the ability was granted by an enchantment.,Only if the object is an artifact.
Which rule specifically addresses the addition of abilities to objects?,Rule 113.10.,Rule 101.2a.,Rule 101.3.,Rule 102.1.
"If a card instructs you to do something that cannot be performed, how is that instruction treated?",It is ignored.,It triggers a penalty.,It must be replaced with an alternate action.,You must still attempt it.
"When a card contains an impossible instruction and the card does not specify a consequence, what happens?",Nothing happens; the instruction is ignored.,You must discard a card as a penalty.,You get an alternate effect.,You lose the game.
What does the APNAP order rule specify about the sequence in which players make choices and when actions resolve?,"The active player makes choices first, then the next player in turn order, then the remaining nonactive players in turn order, after which all actions happen simultaneously.",All players make their choices at the same time and actions resolve one after another.,Only the active player makes choices while the others simply wait for the active player to finish.,"Players make choices in reverse turn order, with actions resolving after the last player chooses."
"According to the APNAP rule, when do the actions that were chosen by the players occur?",Simultaneously.,"Sequentially, one after another in turn order.",Only after the active player finishes all of their actions.,In a random order determined by the game.
Who makes the first choice when a card reads “Each player sacrifices a creature.”?,The active player,The player to the right of the active player,All players choose simultaneously,The nonactive players choose first
"After the active player chooses a creature in the “Each player sacrifices a creature” example, what happens next?","Each nonactive player, in turn order, chooses a creature they control",All remaining creatures are sacrificed immediately,Players skip choosing and sacrifice a random creature,Only the active player’s creature is sacrificed
"Once every player has chosen a creature to sacrifice, how are the sacrifices resolved?",All chosen creatures are sacrificed simultaneously,The creatures are sacrificed in the order they were chosen,Only the active player’s chosen creature is sacrificed,"The creatures are sacrificed one at a time, starting with the nonactive players"
What happens to the creatures chosen in the described effect?,They are sacrificed simultaneously.,They are sacrificed one after another.,They are returned to their owners' hands.,They are exiled.
When are the creatures chosen by each player sacrificed?,Immediately and simultaneously.,Only after the active player has chosen.,"One at a time, in reverse turn order.",They are never sacrificed; they are merely tapped.
"When an effect requires each player to choose a card from a hidden zone, what must each player do?",Each player must clearly indicate which face‑down card they are choosing.,Each player may choose any face‑down card without revealing which one.,Each player must reveal the chosen card immediately.,The game chooses the card for each player randomly.
Are the cards chosen from a hidden zone allowed to stay face‑down as they’re selected?,"Yes, the cards may remain face‑down as they’re chosen.","No, they must be revealed before being chosen.",They must be revealed only after the last player has chosen.,They must be revealed immediately after each player’s choice.
"When a player chooses a card from a hidden zone that remains face down, what must the player do?",Clearly indicate which face‑down card they are choosing.,Reveal the card to all players.,Flip the card over before choosing.,Write the card’s name on a piece of paper.
"When a player is choosing a card, what does the game rule say about knowing the choices made by the previous players?","A player knows the choices made by the previous players when making their own choice, except as specified in rule 101.4a.",A player never knows the choices of the previous players.,A player only knows the choices if all players are wearing identical colored hats.,A player must ask a third‑party referee for the information.
What is the exception to the rule that a player knows the choices made by previous players?,"The exception is that a player does not know the choices if the choices are made from a hidden zone, as specified in rule 101.4a.",The exception is that a player does not know the choices if the game is played on a tablet.,The exception is that a player only knows the choices if they are speaking in a secret code.,The exception is that a player must roll a die to decide whether they know the previous choices.
"When a player has to make several choices at the same time and no specific order is given, the player must",choose the order,the judge does not intervene,the order is not determined by the game engine,the active player does not automatically set the order
Who selects the order when multiple choices must be made simultaneously and no order is specified?,The player making the choices,The judge decides,The active player decides,The game engine chooses automatically
Which player is considered the active player when multiple players would make choices or take actions while starting the game?,The starting player,The last player to have chosen,A random player,The nonactive players
Which players are considered nonactive players when multiple players would make choices or take actions while starting the game?,Each other player besides the starting player,The active player,Only the opponent of the starting player,All players
Who are a player’s teammates in a multiplayer game between teams?,The other players on their team.,All players in the game.,Only the active player.,All players not on their team.
Who are a player’s opponents in a multiplayer game between teams?,All players not on their team.,The other players on their team.,Only the active player.,Only the opponents in a two‑player game.
"What does the term ""your team"" refer to in a game that isn’t a multiplayer game between teams?","The same thing as ""you.""",You and all the other players on the field.,You and your teammates only.,It refers to all players who have the same life total.
"In a multiplayer game between teams, ""your team"" is shorthand for which of the following?","""You and/or your teammates.""","""You and all players not on your team.""","""Only the player who controls the spell or ability.""","""All players in the game regardless of team."""
How do players determine who takes the first turn at the start of a game?,They determine which one of them will choose who takes the first turn.,The player with the highest mana pool chooses the first turn.,The first player to cast a spell chooses the first turn.,The outcome of a coin flip decides the first turn.
How may players decide who takes the first turn in the first game of a match?,They may use any mutually agreeable method such as flipping a coin or rolling dice.,They must alternate turns between players each time.,The player who has the higher life total at the start chooses.,They roll a die and the higher number automatically takes the first turn.
Who gets to choose who takes the first turn in a match that has multiple games?,The loser of the previous game chooses who takes the first turn.,The player who won the previous game chooses.,A neutral referee decides.,Both players vote and the majority wins.
"If the previous game of a multi‑game match ends in a draw, who makes the choice for the next game?",The player who made the choice in the drawn game makes the choice again.,The winner of the drawn game makes the choice.,A coin flip decides the choice.,The players agree to alternate choices each game.
"If the previous game in a multi‑game match ended in a draw, who gets to decide which player takes the first turn in the next game?",The player who made the choice in that draw.,The loser of the previous game.,The winner of the previous game.,A player chosen at random.
Who is considered the starting player in a game of Magic: The Gathering?,The player chosen to take the first turn.,The player who won the previous game.,The player who has the highest mana value in hand.,The player who has more life points than the opponent.
What determines who takes the first turn at the beginning of a match of several games?,"The loser of the previous game chooses who takes the first turn; if the previous game was a draw, the player who made the choice in that game makes the choice again.",The winner of the previous game automatically gets the first turn.,A coin flip is used to decide the first turn.,The player who has the most cards in play takes the first turn.
What does the default turn order look like in a standard game?,It begins with the starting player and proceeds clockwise.,It begins with the starting player and proceeds counter‑clockwise.,It begins with the second player and proceeds clockwise.,It alternates randomly each turn.
"When a game uses the shared team turns option, what initiates the default turn order?",The starting team.,The starting player.,A random player.,The archenemy.
"In an Archenemy game, who takes the first turn?",The archenemy.,The starting player.,A random player.,The second player.
"In a game using the shared team turns option, what replaces the starting player to determine who goes first?",starting team,starting commander,starting zone,starting creature
What does the Power Play card establish as the starting player in an Archenemy game?,Its controller is the starting player.,The archenemy always starts first.,The player who has the most life starts first.,The player who declares the last combat begins first.
When does the effect of Power Play supersede other starting‑player determination methods?,After the starting player has been determined.,Before the starting player is chosen.,During the first combat step.,At the end of the game.
When are additional steps performed in a game of Magic: The Gathering?,After the starting player has been determined.,Before each player’s turn begins.,After each combat phase.,Only when a player uses a special card.
Which rule specifies that players must perform the actions listed in 103.2a–e in order after the starting player has been determined?,Rule 103.2.,Rule 103.1c.,Rule 100.4.,Rule 110.2.
"According to rule 103.2, what must players do after the starting player has been determined?","Perform the actions listed in 103.2a–e in order, as applicable.",Immediately shuffle all players’ decks together.,Place all sideboards on the battlefield as temporary permanents.,Declare the winner of the coin toss before proceeding.
What does rule 103.2a do with sideboard cards at the beginning of a game?,It sets aside sideboard cards so that each player’s deck is considered their starting deck.,It shuffles sideboard cards into the deck.,It discards sideboard cards to the graveyard.,It allows players to play sideboard cards immediately.
What is each player’s deck considered to be after the sideboards and substitute cards have been set aside in rule 103.2a?,Their starting deck.,Their final deck.,Their sideboard.,Their graveyard.
How many companion cards can a player reveal from outside the game during a match?,No more than one card,Two cards,Any number of cards,Exactly three cards
Under what condition can a player reveal a companion card from outside the game?,Only if the deck fulfills the condition of that card’s companion ability,Only if the opponent also reveals a companion card,Whenever the player has at least one creature on the battlefield,Only if the player has more than five cards in hand
What happens to a companion card revealed from outside the game?,It remains outside the game,It is added to the player’s deck immediately,It is put into the graveyard,It is shuffled into the sideboard
How many companion cards may a player reveal when building a deck?,One,Two,Three,Four
Under what condition is a player allowed to reveal a companion card from outside the game during deck construction?,Only if the deck satisfies the companion’s condition,Only if the player owns the card in their deck,Only on the second turn of the game,Only if the card has a legendary creature on the battlefield
What happens to a companion card that a player reveals from outside the game during deck construction?,It remains outside the game,It goes into the player’s library,It is put into the graveyard,It is added to the command zone
What becomes of a card that a player reveals as a companion from outside the game?,It remains outside the game.,It is added to the player’s library.,It is placed in the graveyard.,It is moved to the command zone.
Where does each player put their commander from their deck at the start of a Commander game?,face up into the command zone,in the battlefield,in the graveyard,in the hand
"When a Commander game begins, from where is a commander taken and how is it placed?",from the deck face up into the command zone,from the graveyard face down,from the library face down,from the hand face up
What can a player choose from the sealed product in a limited game?,Up to three sticker sheets,Exactly three sticker sheets,All sticker sheets in the product,No sticker sheets at all
What must a player do with the sticker sheets they choose in a limited game?,Reveal them,Keep them hidden in their hand,Put them into the command zone,Place them in the graveyard
Which stickers can a player use during a constructed or limited game after selecting sticker sheets?,Only the stickers on the chosen sheets; the player cannot access stickers on any other sheets.,All stickers from every sheet in the player's collection.,Only the stickers that have already been revealed to all players.,"All stickers in the sealed product, regardless of whether the sheets were chosen."
What happens to sticker sheets after they are chosen in a constructed or limited game?,The chosen sticker sheets remain revealed for the duration of the game.,The chosen sticker sheets are immediately folded and hidden from view.,The chosen sticker sheets are shuffled back into the deck.,The chosen sticker sheets are destroyed after the game ends.
What must each player do with conspiracy cards from their sideboard in a Conspiracy Draft game?,Put any number of conspiracy cards from their sideboard into the command zone.,Burn one conspiracy card from their sideboard.,Shuffle all conspiracy cards into their library.,Place all conspiracy cards into exile.
Where do players put conspiracy cards during a Conspiracy Draft game?,The command zone.,The battlefield.,The graveyard.,The exile zone.
"After a player shuffles or cuts an opponent’s deck, what does that deck become?",Their library,Their command zone,Their graveyard,Their hand
Which of the following actions is allowed when a player has finished shuffling their own deck?,Shuffle or cut their opponent’s deck,Burn all cards in the opponent’s deck,Move the opponent’s deck to their graveyard,Return the opponent’s deck to the command zone
What must the owner of a supplementary deck do in a game using supplementary decks of nontraditional cards?,Shuffle the deck so the cards are in a random order.,Place the deck on top of the library.,Keep the deck in the order it was built.,Leave the deck face‑up on the battlefield.
What can each player do with their opponents’ supplementary decks in such a game?,Shuffle or cut the opponent’s supplementary deck.,Burn the opponent’s supplementary deck.,Place the opponent’s supplementary deck in their own library.,Discard the opponent’s supplementary deck.
What is the starting life total for each player in a standard Magic: The Gathering game?,20,30,40,0
"In a Two-Headed Giant game, what is each team’s starting life total?",30,20,40,0
"In a Vanguard game, how is a player’s starting life total determined?",20 plus or minus the life modifier of their vanguard card,"Always 20, regardless of the vanguard card",20 plus the number of cards in the player’s deck,20 minus the number of cards in the player’s library
What is the starting life total in a Two-Headed Giant game?,30,20,40,25
"In a Vanguard game, what determines a player’s starting life total?",20 plus or minus the life modifier of the vanguard card,20 regardless of the vanguard,40 regardless of the vanguard,30 regardless of the vanguard
What is the starting life total for a Commander game?,40,20,30,25
"In a two-player Brawl game, what is the starting life total?",25,20,30,40
"In a Vanguard game, how is each player's starting life total determined?",It is 20 plus or minus the life modifier of their vanguard card.,It is always 20.,It is always 40.,It depends on the size of the player's deck.
What is the starting life total for each player in a multiplayer Brawl game?,30,25,20,40
What is the normal starting hand size in a standard game of Magic?,Seven cards,Five cards,Ten cards,Three cards
"According to the starting‑hand rule, what determines the number of cards a player draws at the beginning of the game?",Their starting hand size,Their life total,The number of opponents,The size of their deck
How can a player's starting hand size be altered from the default value?,By certain effects that modify it,By the number of players in the game,By the amount of mana they have,By the number of cards in their graveyard
What is a mulligan in a multiplayer Magic: The Gathering game?,Discard your current hand and draw a new hand of the same size.,Take a new hand of seven cards regardless of your current hand size.,Discard your current hand and draw a new hand of one fewer card.,Take a new hand of the same size after discarding your current hand.
Which of the following can alter a player’s starting hand size before the game begins?,Some effects can modify a player’s starting hand size.,"The game always starts with exactly seven cards, and no effect can change this.",Players may decide to start with one extra card if they mulligan.,The player may choose to start with a different number of cards by paying a fee.
What is the correct sequence for players to declare whether they will take a mulligan?,"The starting player declares first, followed by each other player in turn order.",All players declare simultaneously.,"Players take turns in reverse order, starting with the last player to have drawn.",Only the starting player gets to declare; others automatically follow.
Who declares first whether they will take a mulligan?,The starting player,The player with the most creatures on the battlefield,The player with the highest life total,The player who played the last spell
What is the order in which players declare whether they will take a mulligan?,"In turn order, starting with the first player and proceeding clockwise",Randomly chosen each game,The player with the most cards in hand first,The player who played the most spells in the previous game
"After a player declares they will take a mulligan, what must they do with the cards in their hand?","Shuffle them back into their library, draw a new hand of the starting hand size, then put a number of cards equal to the times they have taken a mulligan on the bottom of the library",Keep the cards and immediately draw five new cards,Place the cards on the bottom of the library without drawing new cards,Shuffle the cards into the opponent’s library
"If a player has taken a mulligan twice, how many cards must they place on the bottom of their library after drawing a new hand?",Two cards,One card,Three cards,Four cards
At what point do players who decide to take mulligans perform the mulligan action?,"All players who decided to take mulligans do so at the same time, after every player has declared.",Players who decided to mulligan draw a new hand immediately in the order they are listed.,"Each player takes a mulligan as soon as they declare it, before anyone else has spoken.","The first player to declare a mulligan draws a new hand, then the next player does the same."
Does the order in which players are seated or take turns influence when mulligans are executed?,No; all mulligans are taken simultaneously once every player has made their declaration.,Yes; the player with the lowest deck number must mulligan first.,Yes; the player who is currently the active player always takes the mulligan before others.,"Yes; players mulligan in the order they are seated, starting with the last to speak."
"When a player takes a mulligan, how many cards must they put on the bottom of their library?",A number of cards equal to the number of times that player has taken a mulligan.,A number of cards equal to the number of cards in the player’s hand.,All of the cards that were drawn in the new hand.,The entire library shuffled into the hand.
What becomes a player’s opening hand after they decide not to take a mulligan?,It becomes that player’s opening hand.,It is shuffled back into the library.,It is discarded to the graveyard.,It is revealed to the opponent.
"Once a player has chosen not to take a mulligan, what can they no longer do?",Take any further mulligans.,Shuffle their library.,Draw additional cards from outside the game.,Return cards from their library to their hand.
What determines when the mulligan process stops?,No player takes a mulligan.,All players have already taken a mulligan.,The game moves immediately to the next phase.,The players shuffle their hands into their libraries again.
Until when can a player continue taking mulligans?,Until their opening hand would be zero cards.,Only up to three mulligans are allowed.,Mulligans can only be taken in the first turn.,A player may keep mulliganing even if it leaves them with no cards.
What is the limit on the number of mulligans a player may take before they must stop?,"They may keep mulliganing until their opening hand would be zero cards, after which they may not take any further mulligans.",They may keep mulliganing until they run out of cards in their deck.,They may only mulligan a maximum of three times.,They may mulligan indefinitely as long as they wish.
What happens if a player attempts to mulligan when the resulting opening hand would be zero cards?,They cannot take that mulligan; further mulligans are not allowed.,They must shuffle the deck again and draw a single card.,They must discard all cards in their hand.,They are allowed to keep mulliganing and end up with an empty hand.
What determines a player's starting hand size in a Vanguard game?,The base size of seven cards adjusted by the hand modifier of the player’s vanguard card.,The number of cards in the player's graveyard.,The number of creatures the player controls.,The number of cards in the player's library.
"If a vanguard card has a hand modifier of +3, what is the player's starting hand size?",Ten cards.,Three cards.,Seven cards.,Four cards.
"In a Vanguard game, what is the base number of cards a player starts with before applying the hand modifier?",Seven cards.,Five cards.,Nine cards.,Eight cards.
"When may a player perform an action that an effect allows ""any time a player could mulligan""?",At the moment they would declare whether they will take a mulligan.,During the opponent’s turn.,At the beginning of each player’s turn.,Only during the first round of mulligans.
Can that action be performed outside the first round of mulligans?,"Yes, it need not be in the first round of mulligans.","No, it must be in the first round.",Only if the player declares it during the opponent’s mulligan.,Only if no other players have declared their mulligans.
Is it necessary that all other players have declared their mulligan choices before the player can perform the action?,"No, other players may have already made their mulligan declarations by the time the player has the option.","Yes, all players must have declared first.","Yes, only if all players have declared.","No, players cannot declare mulligans during that period."
What is the earliest moment a Vanguard player may choose to perform an action that is permitted “any time [that player] could mulligan”?,"at any time they could mulligan, even after other players have declared their mulligans",at the beginning of the game before any cards are drawn,only during the first round of mulligans,when they have already chosen to take a mulligan
"After a Vanguard player performs an action that can be taken “any time [that player] could mulligan,” what must they do next?",they must declare whether they will take a mulligan,they must draw an extra card,they must reveal their entire hand,they must discard a card
"After a player performs the action, what must they declare?",Whether they will take a mulligan.,The number of cards they will draw next turn.,Which side of the battlefield they will attack from.,The name of the card they wish to mulligan.
"In a multiplayer game using the shared team turns option, in what order do players declare whether they will take a mulligan?","First, each player on the starting team declares, then players on each other team in turn order.",All players declare simultaneously.,Players on the last team declare first.,Only the player who wins the coin toss declares.
When are mulligans taken in a multiplayer game using the shared team turns option?,All mulligans are taken at the same time.,Each player takes their mulligan immediately after declaring.,At the end of the game.,When the last player declares.
"During the mulligan declaration in shared team turns, may teammates consult with each other?","Yes, teammates may consult while making their decisions.","No, decisions must be made independently.",Only the team captain may consult.,Only after mulligans are taken.
Can a player take a mulligan after a teammate has decided to keep their opening hand in a multiplayer game using the shared team turns option?,"Yes, a player may take a mulligan even after a teammate has decided to keep.","No, once a teammate keeps, all others must keep.",Only if the teammate is the captain.,Only if the teammate has no cards in hand.
Can teammates discuss their mulligan decisions with each other in a shared team turns multiplayer game?,"Yes, teammates may consult while making their decisions.","No, each player must decide independently.",They can only discuss if they are the team leader.,Teammates are not allowed to consult at all.
When are mulligans taken in a shared team turns multiplayer game?,"All mulligans are taken at the same time.",Only the first player takes mulligan first.,Each team takes mulligan one after another.,Mulligans are taken at the end of the game.
Can a player take a mulligan after a teammate has already decided to keep their opening hand in a multiplayer game using the shared team turns option?,"Yes, a player may take a mulligan even after a teammate has decided to keep their opening hand.","No, a player cannot take a mulligan after a teammate has decided to keep.",Only the starting player may mulligan after teammates decide.,Mulligans must be taken before any teammates make their decisions.
What may the starting player do with cards that allow actions from the opening hand after the mulligan process is finished?,Take any such actions in any order,Must wait until the start of their first turn to use them,Can only use one action per card,Is not allowed to use them at all
"After the starting player has taken all possible actions from their opening hand, who else is allowed to take actions from their own opening hand cards?",Each other player in turn order may do the same in any order,Only players who chose to keep their opening hand may act,Only the player with the highest mana pool may act,No other player may act until the next round starts
What can a player do with cards that allow actions from the opening hand once the mulligan process is complete?,Take any such actions in any order.,Skip their turn and wait for the next game.,Draw an extra card before any other player acts.,Must discard the card before it can be used.
When is a player allowed to take actions with cards from their opening hand that permit such actions?,Once the mulligan process is complete.,During the mulligan process itself.,After every opponent has taken their first turn.,Before the starting player draws their opening hand.
In what order can a player take the actions allowed by cards from their opening hand after a mulligan?,In any order they choose.,In the same order the cards were drawn.,In the order specified on each card.,In reverse turn order starting from the last player.
Who may also take actions with cards that allow opening‑hand play after the starting player has done so?,Each other player in turn order may do the same.,Only the player who won the coin flip may act.,All players must wait until the first main phase of the game.,Only the player who has the most life total may act.
In what order do players act when taking actions with cards that allow opening‑hand play?,In turn order.,Randomly chosen by a die roll.,Alphabetically by player name.,In the order they draw their opening hand.
What must a player do when a card allows them to reveal it from their opening hand?,Reveal the card.,Pay life equal to its mana cost.,Shuffle it back into the library.,Discard it immediately.
Until when does a card that has been revealed from the opening hand remain revealed?,Until the first turn begins.,Until the end of the game.,Until the next player's turn.,Until the card is cast.
Can the same card be revealed from the opening hand more than once?,"No, each card may be revealed this way only once.","Yes, it can be revealed every turn.","Yes, but only if you win a coin toss.","Yes, but only for land cards."
Who gets to take the actions that allow revealing cards from opening hands first in a multiplayer game that uses the shared team turns option?,"Each player on the starting team, in whatever order that team chooses.",Every player on the non‑starting teams first.,Only the starting player gets to act.,"The action is taken by the game master, not the players."
"During a multiplayer game using the shared team turns option, are teammates allowed to consult while deciding on their actions?","Yes, teammates may consult while making their decisions.","No, teammates must act independently.",Consultation is only allowed after the starting team has finished.,Only the game master may give advice.
"After the starting team has taken its actions in a multiplayer game with shared team turns, which players take the next actions?",Each player on each other team in turn order.,Only the next player on the starting team takes an action.,All remaining players act simultaneously.,The order is random for the following teams.
What may teammates do while making decisions in a multiplayer game using the shared‑team‑turns option?,They may consult with each other.,They may not consult with each other.,They must immediately end the game.,They can only look at their own cards.
"After teammates consult in the shared‑team‑turns option, what happens next?",Each player on each other team in turn order takes their turn.,The game resets to the starting player.,All players skip their turns.,The game ends and a new game starts.
What is the procedure for selecting the starting plane in a Planechase game?,"The starting player turns the top card of their planar deck face up; if it’s a phenomenon card, they put it on the bottom of their planar deck and repeat this process until a plane card is turned face up, which then becomes the starting plane, a random card from the deck is chosen instead, any plane from a preset list is selected, the starting plane is predetermined before the game begins.",A random card from the deck is chosen instead,Any plane from a preset list is selected,The starting plane is predetermined before the game begins
What happens if the top card of the planar deck is a phenomenon card during starting plane selection?,"It is placed on the bottom of the planar deck and the player repeats the process until a plane card appears, it is discarded from the game, it immediately becomes the starting plane, the player skips to the next player's turn.",It is discarded from the game,It immediately becomes the starting plane,The player skips to the next player's turn
When does a plane card become the starting plane in Planechase?,"When it is turned face up as the top card after discarding any phenomena that appear, when the last plane is removed from the deck, at the end of the first player's turn, after all players have taken their first turn.",When the last plane is removed from the deck,At the end of the first player's turn,After all players have taken their first turn
What must a player do if the top card of their planar deck is a phenomenon card during the start of a Planechase game?,Put the card on the bottom of their planar deck and repeat the process until a plane card is turned face up.,Reveal the card and keep it face down in the middle of the table.,Add the card to their hand and shuffle the planar deck.,Burn the card and draw a new top card from a separate deck.
What type of card becomes the starting plane in a Planechase game?,A plane card that is turned face up.,A phenomenon card that is turned face up.,A basic land card from the player's library.,Any card that has the word ‘Plane’ in its name.
What becomes the starting plane in a Planechase game?,The face‑up plane card becomes the starting plane.,All cards in the planar deck are shuffled to determine the starting plane.,The top card of the player’s main deck becomes the starting plane.,The first card drawn by the opponent becomes the starting plane.
"In a two‑player game of Magic: The Gathering, which player skips the draw step during their first turn?",The player who plays first,The player who plays second,Both players skip the draw step,No player skips the draw step
"In a Two‑Headed Giant game, what special rule applies to the team that plays first regarding the draw step of their first turn?",They skip the draw step of their first turn.,They draw two cards instead of one.,They draw a card and then immediately discard one.,They are not allowed to draw any card until their second turn.
"In multiplayer games of Magic: The Gathering, does any player skip the draw step on their first turn?",No players skip the draw step on their first turn.,Only the player who plays first skips it.,Only the last player to act skips it.,All players skip it.
What causes a Magic game to end immediately?,"when a player wins, when the game is a draw, or when the game is restarted",when a player’s life total drops to zero,when a player has no cards in hand,when a player has no permanents on the battlefield
Which of the following is NOT listed as an immediate game‑ending condition in the rules?,a player has no cards in hand,a player wins the game,the game is a draw,the game is restarted
What are two ways a player can win a game?,"If all opponents have left the game, or if an effect states that a player wins.",When a player’s life total drops to zero.,When a player’s library is empty at the start of their turn.,When a player draws the card “Victory” from the deck.
"Which scenario causes a player to win immediately, overriding all other effects?",All opponents have left the game.,The player has more than 20 life points.,The player draws a card from a sideboard.,The player declares an attack with a creature.
