question,answer,first_wrong_answer,second_wrong_answer,third_wrong_answer
What is the purpose of the Hideaway ability on a permanent?,"It allows the player to look at the top X cards of their library, keep one, put the others on the bottom in any order, and the permanent enters tapped.",It causes the permanent to enter untapped and grant extra combat damage.,It lets the player draw an extra card from the library.,It has no effect on the battlefield; the permanent simply enters tapped.
"In a card that reads “Hideaway 4”, what does the number 4 specify?",It is the number of cards the player must look at from the top of their library.,It is the mana cost of the permanent.,It indicates the number of turns the permanent remains on the battlefield.,It is the maximum power the permanent can achieve.
Why does a permanent with Hideaway enter the battlefield tapped?,Because the rules explicitly state that Hideaway permanents enter tapped.,Because the player chooses to tap it during the reveal step.,Because it is a spell that has a tap cost.,Because the opponent can tap the permanent when it resolves.
What change did the Oracle errata introduce for older cards with the printed text “Hideaway” and no number?,It added “Hideaway 4” and the ability “[This permanent] enters tapped.”,It removed the Hideaway ability entirely.,It increased the mana cost of the permanent by two.,It allowed the permanent to enter the battlefield untapped.
What does the keyword ability Prowl allow a player to do when casting a spell that has it?,Pay the prowl cost instead of the spell’s regular mana cost if the required condition is met.,Grant the creature an additional +1/+1 counter.,Make the spell untapped.,Allow the creature to attack twice.
When can a player pay the prowl cost of a spell instead of its regular mana cost?,If a player was dealt combat damage this turn by a source under your control that had one of the spell’s creature types.,If a player has dealt damage to you during the turn.,If a creature you control has trample.,If you are casting a spell from your graveyard.
What does the Conspire keyword represent?,Two abilities.,A single ability.,Three abilities.,No abilities.
What types of abilities does the Conspire keyword represent?,A static ability and a triggered ability.,Only a static ability.,Only a triggered ability.,A reactive ability.
When does the first conspire ability— the static ability— operate?,while the spell with conspire is on the stack,after the spell with conspire resolves,before the spell with conspire is cast,after the spell with conspire is put into the graveyard
What type of ability is the first conspire ability?,static ability,triggered ability,activated ability,modal ability
What type of ability is the second conspire ability?,a triggered ability that functions while the spell with conspire is on the stack,a static ability that applies to the spell while it’s on the stack,an activated ability that you can pay at any time,a replacement effect that changes the spell’s resolution
During which part of a turn does the second conspire ability function?,While the spell with conspire is on the stack,After the spell resolves,During the combat phase,During your upkeep step
What must you do as an additional cost to cast a spell that has the conspire ability?,Tap two untapped creatures you control that each share a color with the spell,Pay three extra mana of any color,Destroy a creature you control,Reveal a card from your hand
What occurs if you pay the conspire cost when you cast a spell?,"The spell is copied, and if it has targets you may choose new targets for the copy",The spell is ignored and nothing else happens,All creatures you control become tapped permanently,You gain 5 life
"When a spell that has any targets is cast with conspire, what may you do with the copy of that spell?",You may choose new targets for the copy.,The copy must use the same targets as the original.,The copy cannot have any targets at all.,You must cancel the copy immediately.
How are multiple instances of conspire treated when casting a spell?,"Each instance is paid separately and triggers based on its own payment, not any other instance.",All instances are combined into a single additional cost.,Only the first instance can be paid; subsequent ones are ignored.,The spell ignores all conspire costs if more than one is present.
What determines whether a conspire trigger occurs when a spell has several conspire instances?,The trigger occurs based on the payment of that particular instance alone.,The trigger occurs only if the instance you paid is the first one.,All triggers happen regardless of how many instances you paid.,No triggers occur unless the spell has exactly one conspire instance.
"If you pay the conspire cost for one instance on a spell that contains multiple conspire costs, what happens to the other instances?",The other instances do not trigger because they were not paid.,The other instances automatically trigger after the first.,All remaining instances are canceled automatically.,The other instances trigger simultaneously with the first.
What happens to a permanent that has no -1/-1 counters when it is put into the graveyard from the battlefield?,"When this permanent is put into a graveyard from the battlefield, if it had no -1/-1 counters on it, return it to the battlefield under its owner’s control with a -1/-1 counter on it.",It deals 1 damage to all creatures.,It returns the permanent without any counter.,It exiles the permanent instead.
"When a creature is dealt damage by a source with the keyword ability “Wither,” what occurs?","Damage dealt by a source with wither isn’t marked on the creature; instead, that source’s controller puts that many -1/-1 counters on the creature.",The creature receives normal damage counters and heals over time.,The creature is exiled.,The damage is ignored entirely and nothing changes.
What happens when a source that has wither deals damage to a creature?,It places that many –1/–1 counters on the creature instead of marking damage.,It marks damage on the creature in the usual way.,It ignores the damage completely.,It turns the creature into a different type of creature.
"If a source that had wither changes zones before it is to deal damage, how is the wither effect determined?",The source’s last known information before it left the zone is used.,The source’s current zone determines whether it has wither.,Whether the source is still a creature on the battlefield decides it.,The controller’s choice at the time of damage decides it.
What does a source with wither do when it deals damage to a creature?,It causes the source’s controller to put that many ‑1/‑1 counters on the creature.,It deals damage normally without any counters.,It puts +1/+1 counters on the creature.,The creature gets no damage or counters.
Who is responsible for adding the ‑1/‑1 counters when a creature is damaged by a source with wither?,The controller of the source.,The target creature’s controller.,No one; the game adds them automatically.,The battlefield.
"When a creature is dealt damage by a source with wither, what type of counters are placed on it?",‑1/‑1 counters.,+1/+1 counters.,Regular damage marks.,Poison counters.
"If an object with wither changes zones before an effect causes it to deal damage, what is used to determine whether it had wither?",Its last known information.,The state of the object at the moment it deals damage.,The controller’s current choice.,The original zone the object came from.
Does the wither ability still function if the object deals damage from a zone other than the battlefield?,"Yes, the wither rules function no matter what zone an object with wither deals damage from.","No, it only works while the object is on the battlefield.","No, it only applies to damage dealt from the battlefield to another object.","No, it stops working once the object leaves the battlefield."
What does rule 702.80d state about having multiple wither abilities on the same object?,They are redundant; having more than one wither on a creature does not increase its effect,"They stack, causing the creature to deal double wither damage",Only the first wither ability applies; subsequent ones are ignored,"Wither abilities can only be on artifacts, not creatures"
What does the Retrace ability allow a player to do?,Retrace allows a player to cast the card from their graveyard by discarding a land card as an additional cost.,It lets a creature block twice each combat.,It allows a player to exile the card permanently.,It forces the opponent to lose life equal to the card’s mana cost.
Which zone must a card with Retrace be in for the ability to function?,The card must be in a player's graveyard.,The battlefield.,The hand.,The exile zone.
Retrace is classified as what type of ability?,Retrace is a static ability.,Activated ability.,Triggered ability.,Legendary ability.
What does the keyword “Retrace” allow you to do?,Cast the card from your graveyard by discarding a land card as an additional cost,Put the card onto the battlefield for free,Return the card to your hand without any cost,Sacrifice a creature to play the card from your hand
What is required to use a card’s Retrace ability?,Discard a land card as an additional cost to cast it from your graveyard,Pay an additional 2 mana of any color,Sacrifice a creature of any type,Flip a coin and hope for the best
When can a card with Retrace be cast?,"From the player's graveyard, using the Retrace ability","From the library, if you have a shuffle ability","From the command zone, if it’s a legendary card","From the exile zone, if it was exiled by a specific spell"
What can you do when a permanent with Devour enters the battlefield?,"You may sacrifice any number of creatures, and the permanent enters with a +1/+1 counter for each creature sacrificed.",You must pay an extra amount of mana equal to the number of creatures on the battlefield.,The permanent gets flying and may attack immediately.,The opponent’s creatures are returned to their owner’s hand.
What happens to a permanent that has the Devour ability when it enters the battlefield?,It enters with a number of +1/+1 counters equal to the creatures you sacrificed.,It loses all abilities until end of turn.,It gets +3/+3 until end of turn.,It becomes a land that can tap for mana.
"In the devour rule, what does ""it devoured"" refer to?",the creatures sacrificed as a result of the permanent’s devour ability as it entered the battlefield,any creatures that died before the permanent entered the battlefield,any creatures the permanent could have sacrificed if it chose to,the total number of creatures on the battlefield
What does the term “devoured” refer to when a creature has a devour ability?,the creature that is sacrificed as a result of its devour ability as it entered the battlefield,the creature that it kills in combat,the creature that blocks the devouring creature,the creature returned from the graveyard
How many +1/+1 counters does a creature with a devour ability receive upon entering the battlefield?,N +1/+1 counters for each permanent sacrificed as part of its devour ability,One counter for every creature that it killed,Two counters for each permanent sacrificed,No counters; it only gains a static bonus
What does a “devour [quality] N” ability allow a player to do?,"Sacrifice any number of [quality] permanents as the object enters, then give it N +1/+1 counters per permanent sacrificed","Sacrifice any number of [quality] permanents later in the game, with no counters granted",Gain control of one [quality] permanent and grant it N +1/+1 counters,Destroy one [quality] permanent and give it N +1/+1 counters without sacrificing anything else
What effect does the keyword Exalted have on a creature that attacks alone?,The creature gets +1/+1 until end of turn.,The creature gets +1/+1 until the next combat phase.,All creatures you control get +1/+1 until end of turn.,The creature deals double damage until end of turn.
What does it mean for a creature to “attacks alone” during a combat phase?,It is the only creature declared as an attacker in that combat phase.,It is the creature with the highest power among all attackers.,It is a creature that has trample and is the sole blocker of a defender.,It is a creature that has been tapped when the combat phase starts.
What is the effect of a card’s Unearth ability when activated from the graveyard?,Return the card to the battlefield and give it haste.,Return the card to the battlefield and give it protection from all colors.,Destroy all creatures on the battlefield and exile the card.,Tap all opponent’s creatures and gain life equal to the card’s power.
What condition must be met for you to cast the card exiled by a cascade ability without paying its mana cost?,The exiled card’s mana value must be less than the mana value of the spell that triggered cascade.,The exiled card’s mana value can be equal to or greater than the triggering spell’s mana value.,"You may always cast the exiled card without paying its mana cost, regardless of its mana value.",You cannot cast the exiled card at all; you must pay its full mana cost.
"After using the cascade ability, the cards that you did not cast are placed back into your library. What is the correct placement rule for those cards?",They are put on the bottom of your library in a random order.,They are put on the top of your library in the order they were exiled.,They are returned to your hand.,They are moved to your graveyard.
What does an “Annihilator N” ability do?,The defending player sacrifices N permanents whenever the creature attacks.,The attacking player sacrifices N permanents.,The defending player draws N cards.,The creature gains N life.
What happens if a spell has multiple instances of cascade?,Each instance triggers separately.,Only one cascade triggers.,All cascades trigger together.,No cascade triggers.
"If a creature has multiple instances of annihilator, how does it trigger?",Each instance triggers separately.,Only one instance triggers.,The creature’s ability becomes a single trigger.,The ability does not trigger.
What type of ability is Level Up?,Activated ability.,Triggered ability.,Static ability.,Untapped ability.
What does “Annihilator N” mean?,"Annihilator N means “Whenever this creature attacks, the defending player sacrifices N permanents.”","Annihilator N means “Whenever this creature attacks, the attacking player sacrifices N permanents.”","Annihilator N means “Whenever this creature attacks, the defending player gains N life.”","Annihilator N means “Whenever this creature attacks, you may pay N mana to destroy a permanent.”"
What does “Level up [cost]” mean?,Level up [cost] means “[Cost]: Put a level counter on this permanent. Activate only as a sorcery.”,"Level up [cost] means “Pay the cost to put a level counter on this permanent, and you may activate it any time.”",Level up [cost] means “Add a level counter to this permanent whenever you cast a spell of the same type.”,Level up [cost] means “Activate this ability during your upkeep to put a level counter on this permanent.”
What defines a leveler card in Magic: The Gathering?,A card printed with a level‑up ability that has a nonstandard layout and includes two level symbols that are keyword abilities.,A creature card that can be sacrificed to give an opponent a counter.,A basic land that transforms when it enters the battlefield.,A spell that can be cast only during the opponent’s turn.
Which of the following is a unique feature of the layout of a leveler card?,It has a nonstandard layout.,It uses the same design as all other creature cards.,It contains no level counters.,It appears only on basic lands.
The two level symbols found on a leveler card are considered what type of abilities?,Keyword abilities.,Instant spell effects.,Enchantment subtypes.,Artifact equipment effects.
Which rule provides additional detail on leveler cards?,"Rule 711, “Leveler Cards.”",Rule 702.86b.,Rule 702.87c.,Rule 702.89d.
Which type of card has a nonstandard layout and includes two level symbols that are themselves keyword abilities?,Leveler card,Standard card,Transform card,Hybrid card
Which rule number specifically addresses leveler cards?,711,702,716,702.87
What attribute do class enchantments grant that is distinct from level‑up abilities?,A class level,A level counter,The ability to level up,Nothing special
Do class levels interact with level counters?,"No, they do not interact","Yes, they automatically transfer to the creature",Only during the first turn they interact,They interact only when a level‑up ability is used
Do class levels interact with level counters in Magic: The Gathering?,"No, class levels do not interact with level counters.","Yes, they are the same thing.",They interact only when a card has a leveler symbol.,They interact only in special commander formats.
What happens to a spell with the Rebound ability after it resolves?,"Instead of being put into the graveyard, the spell is exiled and, at the beginning of your next upkeep, you may cast it from exile without paying its mana cost.",The spell is discarded to the graveyard normally.,The spell is returned to your hand.,The spell is permanently removed from the game.
What happens when a spell with rebound resolves?,"It exiles the spell and, at the beginning of your next upkeep, you may cast it again from exile without paying its mana cost.",It sends the spell to your graveyard and grants you an extra life point.,It becomes an instant that can be played from the battlefield.,It creates a permanent on the battlefield that costs nothing to cast.
"While a spell that has rebound is on the stack, what kind of ability does it carry?",A static ability that functions while the spell is on the stack and may create a delayed triggered ability.,A triggered ability that activates when the spell is cast.,An activated ability that requires you to tap a creature.,An ability that can only be used during the opponent’s turn.
"When a spell is cast as an effect of its rebound ability, which rules determine how you pay its costs?",rules 601.2b and 601.2f–h,rules 601.1a and 601.1b,rules 702.88a and 702.88c,rules 700.3 and 700.5
What does rule 702.88c say about having more than one rebound ability on a single spell?,Multiple instances of rebound on the same spell are redundant.,The spell can only rebound once regardless of how many rebound abilities it has.,Rebound effects stack and can trigger multiple times.,Rebound cannot be applied to a spell that already has another effect.
Why is it considered unnecessary to give a spell more than one rebound ability?,Because the extra rebound abilities do nothing; they are redundant.,Multiple rebound abilities combine to create a stronger effect.,"Only the first rebound ability counts, but the others still apply.",Rebound abilities are limited by the number of times a spell can be cast.
What occurs when a permanent enchanted with Umbra Armor would be destroyed?,The Aura is destroyed and all damage marked on the enchanted permanent is removed instead of the permanent being destroyed.,The Aura is destroyed but the permanent still takes damage.,The permanent is destroyed and the Aura remains attached.,The Aura is removed and the permanent keeps all damage marked on it.
What happens when an enchanted permanent would be destroyed because of Umbra Armor?,It removes all damage marked on the permanent and destroys the Aura instead.,The permanent is returned to its owner’s hand.,The permanent gains indestructible until end of turn.,The permanent is exiled.
Under what circumstance does Umbra Armor activate?,When an enchanted permanent would be destroyed.,When the Aura is tapped.,When the enchanted permanent deals combat damage.,When the Aura is put into a graveyard.
What is Infect?,Infect is a static ability.,It is an activated ability.,It is a triggered ability.,It is a modal ability.
What happens when a creature is dealt damage by a source with infect?,The damage is not marked on that creature.,The creature loses life equal to the damage.,The damage is marked as regular damage.,The damage causes the creature to be destroyed.
How is damage to a player handled when dealt by a source with infect?,The source’s controller gives the player that many poison counters.,The player loses life equal to the damage.,The damage is ignored.,The player is healed by that many life points.
What happens to a player when they take damage from a source that has infect?,The player receives that many poison counters.,The player must skip their next turn.,The player loses that many life points.,The player is forced to sacrifice a creature.
What effect does infect have on a creature that takes damage from a source with infect?,The source’s controller puts that many –1/–1 counters on the creature.,The creature gets +1/+1 counters instead.,The creature gains flying until end of turn.,The creature is exiled and then returned at the beginning of the next upkeep.
What effect replaces damage dealt to a creature by a source with infect?,It causes the source’s controller to put that many -1/-1 counters on the creature.,The creature takes the damage normally.,The damage is ignored completely.,The creature gains that many +1/+1 counters.
Who is responsible for placing the -1/-1 counters when a source with infect deals damage to a creature?,The source’s controller.,The creature’s controller.,The opponent of the source’s controller.,No player places counters; the damage is simply ignored.
What type of counter is used to represent the damage dealt by a source with infect?,-1/-1 counter.,Poison counter.,+1/+1 counter.,Damage counter.
What happens when a source with infect deals damage to a creature?,The source’s controller puts that many -1/-1 counters on that creature.,The creature takes normal damage that is marked on it.,The source’s controller gives the creature a +1/+1 counter.,The creature is exiled immediately.
Who is responsible for placing the -1/-1 counters on a creature that takes damage from a source with infect?,The source’s controller.,The creature’s controller.,The player who dealt the damage.,The opponent of the source’s controller.
What type of counters are added to a creature when it is dealt damage by a source with infect?,-1/-1 counters.,+1/+1 counters.,Damage points.,Tap counters.
Do the infect rules still apply if an object that has infect moves to a different zone before it deals damage?,"Yes, the infect rules function regardless of the zone from which the object deals damage.","No, the infect rules only apply while the object remains on the battlefield.",The infect rules only apply if the object is in the hand when it deals damage.,The infect rules only apply if the object has never moved zones.
What does it mean that multiple instances of infect on the same object are redundant?,Having more than one instance of infect on a single object does not provide any additional effect.,It allows the object to deal more damage to creatures.,It gives the object additional damage mitigation against non‑infect damage.,It makes the object immune to non‑infect damage.
What effect does battle cry have when a creature with that ability attacks?,"When a creature with battle cry attacks, each other attacking creature receives +1/+0 until end of turn.",It causes all attacking creatures to gain +0/+1.,It allows the attacking creature to attack twice.,It prevents the creature from being blocked.
"If a creature has multiple instances of battle cry, how many times does the ability trigger when that creature attacks?","Each instance of battle cry triggers separately, so the ability triggers once per instance.",It triggers only once regardless of how many instances are present.,It triggers twice regardless of the number of instances.,It does not trigger at all if more than one instance is present.
What does a creature with Battle Cry do when it attacks?,Each other attacking creature gets +1/+0 until end of turn.,It gains an additional +0/+1 until end of turn.,It can attack twice in the same combat phase.,It deals damage equal to its power to all defending players.
When does a creature's Battle Cry ability trigger?,Whenever the creature attacks.,Whenever the creature is tapped.,Whenever the creature is cast from the hand.,Whenever the creature blocks.
What happens when a creature has multiple instances of battle cry?,Each instance triggers separately.,Only one instance triggers.,The triggers cancel each other.,All instances are ignored.
What type of ability is the Living Weapon mechanic?,a triggered ability,a static ability,a keyword ability,a counter ability
When does the Living Weapon ability trigger?,When the Equipment enters the battlefield,When the Equipment attacks,When the creature with the Equipment attacks,When the player declares combat
What happens when a piece of Equipment with the Living Weapon ability enters the battlefield?,It creates a 0/0 black Phyrexian Germ token and attaches the Equipment to it.,It creates a 1/1 white Soldier token.,It deals 2 damage to all creatures.,It taps all other creatures.
What keyword ability creates a 0/0 black Phyrexian Germ creature token when an Equipment enters the battlefield and then attaches the Equipment to that token?,Living weapon,Battle cry,Phasing,Vigilance
"When an Equipment enters the battlefield, which ability says “create a 0/0 black Phyrexian Germ creature token, then attach this Equipment to it”?",Living weapon,Undying,Lifelink,First strike
Which keyword ability describes the event that occurs when an Equipment enters the battlefield and a 0/0 black Phyrexian Germ creature token is produced?,Living weapon,Deathtouch,Haste,Trample
What happens to a permanent that has the Undying ability when it is put into a graveyard from the battlefield?,"It returns to the battlefield under its owner's control with a +1/+1 counter on it, but only if it had no +1/+1 counters on it before it died.",It stays in the graveyard permanently.,It returns to the battlefield with two +1/+1 counters.,It becomes tapped when it returns.
When does the Undying ability trigger?,It triggers when the permanent is put into a graveyard from the battlefield.,It triggers when the permanent attacks.,It triggers when the permanent is tapped.,It triggers when the permanent is put onto the battlefield.
What happens when a permanent with Undying is put into a graveyard from the battlefield if it had no +1/+1 counters on it?,It returns to the battlefield under its owner’s control with a +1/+1 counter on it.,It is exiled.,It remains in the graveyard.,It is shuffled into the library.
Under what condition does the Undying ability trigger?,When the permanent with Undying is put into a graveyard from the battlefield and it had no +1/+1 counters on it.,When it goes to hand.,When it is put onto the battlefield.,When it is exiled.
When may a player reveal a card that has the Miracle ability?,When the card is drawn as the first card of the turn.,When the card is in the graveyard.,When the card is tapped.,When the card is in the library.
What advantage does a player gain by revealing a Miracle card in the manner described?,They may cast it by paying its Miracle cost instead of its normal mana cost.,The card becomes legendary.,The card gains +2/+2 until end of turn.,The card cannot be countered by opponents.
What happens after a player reveals a card with the Miracle ability and chooses to use it?,The player may cast it for its Miracle cost rather than its regular mana cost.,The card is exiled.,The card is returned to the hand.,The card is put onto the battlefield directly.
What can you do when you reveal a Miracle card from your hand as you draw it?,Cast it by paying its miracle cost instead of its regular mana cost.,Pay an additional 2 mana to cast it.,Discard it immediately after revealing.,You cannot cast it until the next turn.
What does the Soulbond keyword represent in Magic: The Gathering?,Two triggered abilities that interact with each other.,A single activated ability that can be used at instant speed.,A passive ability that prevents the card from being exiled.,A cost reduction on your next spell.
What conditions cause a card revealed by its miracle ability to stop being revealed?,"Until that card leaves the player's hand, the ability resolves, or the ability otherwise leaves the stack.",Until the next turn begins.,Until the card is cast.,Until the player chooses to hide it again.
What can a player do when they reveal a card using its miracle ability?,cast it by paying the alternative cost instead of its mana cost,discard the card immediately after revealing it,flip the card to its other face without paying any cost,place it on the bottom of the library
"When a creature with Soulbond enters the battlefield, what is the creature’s new ability?","it may pair with another unpaired creature you control, staying paired as long as both remain on the battlefield",it gains an additional +1/+1 counter for each creature you control,it may be sacrificed to return a creature from your graveyard to your hand,it becomes immune to all non‑creature spells
What is the result of a soulbond ability?,a creature becomes “paired” with another creature,a creature gets a second controller for the duration of the turn,a creature gains the ability to tap for mana equal to the number of creatures you control,a creature is exiled until the next upkeep step
What does the Soulbond keyword allow a creature to do when it enters the battlefield?,"Pair this creature with another unpaired creature you control, as long as both remain on the battlefield.",Grant flying to the creature.,Make the creature untap during your next upkeep.,Prevent the creature from attacking.
When does the Soulbond ability trigger?,"When the creature with Soulbond enters the battlefield, or when another creature you control enters while both are unpaired.",When you cast a spell that costs less than three mana.,Whenever you sacrifice a creature during your turn.,When an opponent declares an attack.
What conditions must be met for a Soulbond ability to pair a creature?,"Both creatures must be unpaired, you must control both, and they must remain on the battlefield.",Both creatures must be tapped and have equal power.,One creature must have flying and the other must have first strike.,The creatures must be of the same color identity.
What does it mean for a creature to be “paired” in the Soulbond mechanic?,It is a creature that has been paired with another creature via a soulbond ability.,It is a creature that has been turned into a token.,It is a creature that is under the opponent’s control.,It is a creature that has not yet entered the battlefield.
What is an “unpaired” creature?,It is a creature that is not paired with any other creature.,It is a creature that is paired with another creature.,It is a creature that is on the opponent’s side.,It is a creature that has no power.
What can a soulbond ability refer to regarding paired creatures?,"It may refer to the paired creature itself, the creature another creature is paired with, or whether a creature is paired.",It may refer to the creature's power and toughness.,It may refer to the creature's abilities.,It may refer to the creature's mana cost.
"What happens when the soulbond ability resolves if either object that would be paired is no longer a creature, no longer on the battlefield, or no longer under the control of the player who controls the soulbond ability?",Neither object becomes paired.,Both objects become unpaired.,"The ability still pairs them, ignoring the unpaired condition.",The ability fails to resolve and is returned to the stack.
What is the maximum number of creatures that a single creature can be paired with via Soulbond?,Only one other creature.,Two other creatures.,Three other creatures.,Unlimited creatures.
What events cause a creature paired by Soulbond to become unpaired?,"Another player gains control of it or its paired creature, it stops being a creature, or it leaves the battlefield.",The creature deals combat damage to a player.,The creature receives a +1/+1 counter.,The creature is enchanted.
What does the Overload keyword allow a player to do when casting a spell?,"You may pay the spell’s overload cost instead of its normal mana cost, and the spell’s text is altered so every word “target” becomes “each.”",You can add an extra copy of the spell to your hand.,The spell automatically deals double damage to all creatures.,The spell’s mana cost is doubled for each additional card in your graveyard.
"When a spell is cast with overload, what changes about its text regarding the word “target”?",All instances of the word “target” are replaced with the word “each.”,"The spell’s text is unchanged, but you may choose a second target.",The spell gains the ability “cascade” as if it had the cascade keyword.,Every creature on the battlefield must be targeted by the spell.
"If a spell is cast with overload, does it require any targets?","No, it does not require any targets.","Yes, it requires exactly two targets instead of one.",It requires one target for each creature you control.,It requires a target if the spell would otherwise not have a cost.
What does the overload keyword allow a player to do when casting a spell?,Pay the overload cost instead of the spell’s regular mana cost.,Pay additional costs to increase the spell’s effect.,Must pay the spell’s mana cost plus a surcharge.,Pay only a portion of the spell’s mana cost.
What happens to a spell’s text when it is cast using its overload ability?,All instances of the word ‘target’ are replaced with the word ‘each.’,All effects are doubled.,The spell gains an additional random effect.,The spell’s mana cost is increased by 1.
Does a spell cast with overload still require any targets?,"No, it does not require any targets.","Yes, it requires the same number of targets as normally.","Yes, it requires at least one target but no more.",It depends on the type of spell being overloaded.
