question,answer,first_wrong_answer,second_wrong_answer,third_wrong_answer
What does a merged permanent become represented by after an object merges with a permanent?,the card or copy that represented that object in addition to any other components that were representing it,"only the topmost component’s card, discarding all other components","a completely new, unrelated card that replaces all previous components",a token that has no card backing and can’t be interacted with like a normal permanent
What determines the timestamp of a copiable effect when permanents merge?,The timestamp is set to the time the objects merged.,The timestamp is set to the time the merged permanent entered the battlefield.,The timestamp is set to the time the merged permanent was first created.,The timestamp is set to the time the merged permanent first dealt damage.
"When an object merges with a permanent, what becomes of the object’s previous zone status?",It leaves its previous zone and becomes part of the permanent on the battlefield.,It stays in its previous zone until the next turn.,It is immediately sent to the graveyard.,It moves to the command zone.
Does a permanent that results from a merge count as having just entered the battlefield?,"No, it isn’t considered to have just entered the battlefield.","Yes, it is treated exactly like a normally entered permanent.",It counts only if the merging object was a creature.,It counts only if the resulting permanent is a token.
Does a merged permanent retain all continuous effects that were applied to it before the merge?,"Yes, all continuous effects that were affecting it continue to apply after the merge.","No, all continuous effects are lost when the permanent merges.",The continuous effects are only applied if the player pays an additional cost.,The continuous effects are replaced by the effects of the new topmost component.
"When two permanents merge, is the resulting merged permanent considered to have just come under a player's control?","No, a merged permanent does not count as having just come under a player’s control.","Yes, the merged permanent is treated as a newly controlled object.",It only counts as new if the merged permanent is a token.,It only counts as new if the merged permanent is face‑down.
Under what condition is a merged permanent treated as a token?,It is a token only if its topmost component is a token.,It is a token if any component is a token.,"It is always a token, regardless of its components.",It becomes a token only when it contains at least two tokens.
"If a merged permanent contains a token but its topmost component is not a token, what is its status?",It is not a token.,It is still a token because it contains a token component.,It becomes a creature.,It is a land.
How is the face‑up or face‑down status of a merged permanent determined?,The status is determined by its topmost component.,The status is decided by the bottommost component.,The status alternates each time the permanent merges.,The status is random each turn.
"If a face‑down permanent becomes face‑up as a result of merging, do other effects consider it to have been turned face‑up?","No, other effects do not count it as having been turned face‑up.","Yes, it is treated as if it was turned face‑up by any other effect.",Only if the player controls it do other effects count it as turned face‑up.,Only until the next turn does it count as turned face‑up.
"When a face‑down permanent becomes face‑up as a result of an object merging with it, how are other effects that would normally trigger on a permanent being turned face‑up applied?",Other effects don’t count it as being turned face‑up.,Other effects treat it as a permanent that has just been turned face‑up.,It triggers all face‑up abilities automatically.,It counts as a permanent that has been turned face‑up for the purposes of all effects.
Can a face‑down merged permanent that contains an instant or sorcery card be turned face up?,"No, it can’t be turned face up.","Yes, it can be turned face up, and it then becomes a creature.","Yes, but only if the controller pays an additional mana cost.","No, it must be sacrificed immediately instead."
What happens if a face‑down merged permanent containing an instant or sorcery card would be turned face up?,"Its controller reveals it, it remains face down, and abilities that trigger on being turned face up do not trigger.",It becomes an instant and can be cast immediately.,It is shuffled back into its owner's library.,It is turned face up as normal and the instant or sorcery inside can be used.
What happens when a face‑down merged permanent that contains an instant or sorcery would turn face up?,Its controller reveals it and leaves it face down.,It is removed from the game.,It becomes a creature.,It becomes a land.
Do abilities that trigger when a permanent turns face up activate on a face‑down merged permanent that contains an instant or sorcery?,"No, they do not trigger.","Yes, they trigger normally.",Only if the controller chooses to.,Only if the permanent is on the battlefield in the player's hand.
What happens to abilities that trigger when a permanent is turned face up on a face‑down merged permanent?,They do not trigger.,They trigger once the permanent is flipped face up.,They trigger only if the controller pays an additional cost.,They trigger only if the permanent has been face up for a full turn.
Can a face‑down merged permanent be turned face up during gameplay?,"No, it remains face down and its controller reveals it if it would otherwise turn up.","Yes, it can be turned face up like any other face‑down permanent.",Only if the opponent controls it.,Only if a spell or ability explicitly says it can be turned face up.
"When a merged permanent contains a flip card, which characteristics are used if the merged permanent is flipped?",Its component’s alternative characteristics are used instead of its normal characteristics.,The merged permanent’s own normal characteristics are used.,The card’s characteristics are ignored and the permanent is removed from play.,The merged permanent keeps the characteristics of the first component in the merge.
"When a merged permanent that contains double-faced components capable of transforming is transformed or converted, what happens to those components?",Each of those double-faced components turns so that its other face is up.,The merged permanent splits into its individual components.,Nothing changes; the merged permanent simply remains face-up.,"Only the merged permanent flips, while its components stay on the same face."
What restriction does a face‑up merged permanent that contains a double‑faced component have regarding turning it face down?,It can’t be turned face down.,It can be turned face down only during its controller’s main phase.,It can be turned face down only while it is attacking.,It can be turned face down if the opponent controls it.
Which type of permanent is explicitly forbidden from being turned face down because of its composition?,A face‑up merged permanent containing a double‑faced component.,A single‑faced creature.,A token.,A permanent that has just entered the battlefield.
What happens to each component of a merged permanent when it leaves the battlefield?,Each component is put into the appropriate zone.,Each component is returned to its owner's hand.,The entire merged permanent is returned to its owner's library.,The components are shuffled together and put onto the battlefield as a single new permanent.
"When a merged permanent is put into its owner’s graveyard or library, what may the owner do with the new objects?",The owner may arrange the new objects in any order.,The owner must arrange the objects in the order they appeared on the battlefield.,The owner may shuffle the objects randomly.,The owner has to place the objects face down.
"When a merged permanent is placed into its owner’s library, what must the owner do regarding the order of the cards?",The owner does not have to reveal the order.,The owner must shuffle the cards before putting them back.,The owner must announce the order to all players.,The owner must place the cards face‑up in the order.
"When a player exiles a merged permanent, what does that player determine?",The relative timestamp order of the cards at that time.,The mana cost of each card.,Which card the opponent will draw next.,The amount of life lost by the exiling player.
Which rule states that exiling a merged permanent is an exception to the procedure described in rule 613.7m?,Rule 729.3b.,Rule 614.1a.,Rule 720.2c.,Rule 725.6d.
What happens when an effect can find the new object that a merged permanent becomes as it leaves the battlefield?,all of those objects,only the first component,none of them,only one of them
"If an effect causes actions to be taken upon those objects, what occurs?",the same actions are taken upon each of them,only the first component is affected,actions are applied only to the largest component,actions are applied to none of them
"When an effect finds the new object that a merged permanent becomes as it leaves the battlefield, and that effect causes actions to be taken upon those objects, what happens to the actions?",The same actions are taken upon each of the objects.,Only the first object receives the actions.,The actions are ignored altogether.,The actions are applied only to the original merged permanent.
"If a replacement effect is applied to the event of a merged permanent leaving the battlefield, how is that replacement effect applied to the components of the permanent?",The replacement effect is applied to all components of the merged permanent.,It is applied to just one randomly chosen component.,"It is applied only to the original merged permanent, not its components.",It is not applied to any component at all.
"When several replacement effects could apply to a merged permanent leaving the battlefield, what does the rule say about applying those effects?",Applying one of the replacement effects to the merged permanent applies it to all of its components.,Only the non‑token components receive the effect.,The effect is ignored if any component is a token.,Each component must be affected by a different replacement effect.
Does the rule that applies replacement effects to all components of a merged permanent also apply when that permanent is a commander?,A commander may be exempt from this rule.,The commander always receives the same replacement effect as its components.,Replacement effects never apply to commanders at all.,Commanders are treated as separate permanents for replacement effects.
Which type of permanent might be exempt from the rule that applies replacement effects to merged permanents?,A commander,A creature,A planeswalker,A land
"If a merged permanent is a token but contains card components, how does a replacement effect that applies to cards handle the merged permanent?","The merged permanent and its token components are put into the appropriate zone, and the card components are moved by the replacement effect.",Only the card components move; the token components remain in their current zone.,The entire merged permanent is treated as a single card and moved entirely by the replacement effect.,The replacement effect does not apply to the merged permanent at all.
"What are the ""day"" and ""night"" designations in the game, and how does the game begin with respect to these designations?","The game starts with neither day nor night; ""day"" and ""night"" are designations that can be granted by the game itself.","The game begins in a perpetual night until a card declares ""it becomes day.""","The game starts as day, and can only become night through a special event.","""Day"" and ""night"" are alternate names for the battlefield and graveyard, respectively."
What do the phrases “It becomes day” and “it becomes night” refer to?,They refer to the game gaining the day or night designation.,The active player draws a card.,The mana pool is cleared.,A creature gains haste.
What happens to the game’s day‑night designation once it has become day or night?,It will have exactly one of those designations from that point forward.,It can alternate between day and night each turn.,It can have both day and night at the same time.,It will revert to its previous designation the next turn.
What does the game check during the second part of the untap step?,Check the previous turn to see if the day/night designation should change,Declare attackers for the combat phase,Allow the active player to cast a spell immediately,Shuffle the active player’s deck
Which rule describes the game’s action during the second part of the untap step?,Rule 730.2,"Rule 502, “Untap Step”",Rule 730.1a,"Rule 805, “Shared Team Turns”"
When does the game determine whether the day/night designation should change?,During the second part of the untap step,At the beginning of a player’s turn,During the upkeep step,During the combat damage step
What condition causes the game to switch from day to night in multiplayer games that use the shared team turns option?,No player from the previous turn’s active team cast any spells during that turn.,At least one spell was cast by a member of the previous active team.,All players on the previous active team cast a spell.,A spell was cast by a player not on the previous active team.
What causes the game to switch from night to day during the untap step in a regular single‑player game of Magic?,If the previous turn’s active player casts two or more spells during that turn.,If any creature attacks.,If no spells are cast.,If a player casts a single spell.
"In a multiplayer game using the shared team turns option, what condition makes the game change from night to day at the start of a turn?",If any player from the previous turn’s active team casts two or more spells during that turn.,If any player from the opposing team casts a spell.,If no spells are cast at all.,If a single spell is cast by a member of the active team.
What happens during the day/night transition check if the game state is neither day nor night?,The check doesn’t happen and the state remains neither day nor night.,The game immediately switches to day.,The game immediately switches to night.,The game ends the turn early.
What do players usually use instead of explicitly identifying each game choice?,Mutually understood shortcuts.,Explicitly identifying each game choice.,Randomly guessing the outcome.,Ignoring priority altogether.
What is the main purpose of taking shortcuts during a game?,To allow players to make mutually understood moves without explicitly announcing each action or passing priority.,To speed up the game by eliminating all turns.,To allow players to cheat by making unannounced actions.,To prevent the opponent from seeing any actions.
What must all players in a game understand for any shortcut system to be acceptable?,All players understand each other's intent.,Only the player who invented the shortcut can use it.,Shortcuts can only be used if they are listed in the official rules.,Shortcuts are prohibited during official tournaments.
How are the rules for taking shortcuts described in the game?,They are largely informal.,They are strictly defined.,They are only used in casual play.,They are listed in the rulebook’s appendix.
Under what condition is any shortcut system considered acceptable in a game?,Each player in the game understands the intent of each other player.,The shortcut is documented in the official rulebook.,The players sign a written agreement before starting the game.,"Shortcuts are only acceptable in casual, informal play."
"What does a ""loop"" refer to in Magic: The Gathering?",A state where a set of actions can be repeated indefinitely.,The moment a player is required to shuffle their deck.,A card that grants you extra turns.,An opponent’s ability to take two consecutive turns.
What can the shortcut rules be used for when a loop occurs in the game?,"to determine how many times those actions are repeated without having to actually perform them, and how the loop is broken.",to decide which cards each player should draw next turn.,to skip all turns until the loop ends.,to allow players to arbitrarily change the game state.
What set of rules governs the use of shortcuts and loops during a tournament?,"The tournament rules, which are a modified version of the standard rules for shortcuts and loops.",The standard rules as written in the Core Rulebook.,The rules for casual play found on the Wizards website.,The rules for drafting tournaments only.
"When a tournament rule conflicts with the standard rule for shortcuts and loops, which rule takes precedence?",The tournament rule.,The standard rule.,The rules for the particular format of the tournament.,The rules for casual play.
Who has the right to suggest a shortcut during a game?,The player with priority,Any player at any time,The player who just cast a spell,Only a player during their main phase
What must a proposed shortcut consist of?,A sequence of legal game choices for all players that can be taken based on the current game state and its predictable results,A random set of actions that players might try,Only the opponent’s actions,A series of actions that includes conditional events
Which type of actions is explicitly prohibited from being part of a shortcut?,Conditional actions where the outcome of a game event determines the next action a player takes,All actions are allowed,Any action that changes the stack,A single untapped creature’s movement
What type of actions cannot be included in a shortcut sequence?,"Conditional actions, where the outcome of a game event determines the next action a player takes.",Non‑repetitive series of choices that end without a player having priority.,Loops that repeat a specified number of times.,Sequences that involve multiple nested loops across turns.
What must be true about the ending point of a shortcut sequence?,It must be a place where a player has priority.,It must be a place where the player proposing the shortcut has priority.,It must be a place where all players lose priority.,It must be a place where a creature is tapped.
Does the ending point of a shortcut sequence have to be the player who proposed the shortcut?,"No, it need not be the player proposing the shortcut.","Yes, it must be the player proposing the shortcut.",It must be the opponent of the player proposing the shortcut.,It must be the player who cast the last spell.
What ability does Presence of Gond grant its enchanted creature when tapped?,{T}: Create a 1/1 green Elf Warrior creature token.,{T}: Destroy target creature.,{T}: Gain 2 life.,{T}: Deal 3 damage to target creature.
What happens when a creature enters the battlefield under Intruder Alarm?,Untap all creatures.,Destroy all creatures.,Deal 2 damage to all creatures.,Gain 2 life.
Why does the example sequence end just after the last token‑creating ability resolves?,"Because the proposed shortcut’s ending point is a place where the player has priority, which occurs after the last token‑creating ability resolves.",Because the last token‑creating ability creates a special card.,Because the opponent runs out of mana.,Because Intruder Alarm’s ability cannot trigger again.
...,...,...,...,...
What is the effect of the instant spell *Into the Fray*?,Target creature attacks this turn if able.,Target creature gets +3/+3 until end of turn.,Target creature gains flying until end of turn.,Target creature becomes a 0/1 artifact creature.
During which game step does the non‑active player want to cast *Into the Fray*?,Beginning of combat step.,End of combat step.,Declare attackers step.,End step.
What does the active player say to initiate a shortcut proposal?,“Go.”,“Stop.”,“Proceed.”,“Pause.”
What must a player do if a shortcut was shortened from the original proposal?,They must make a different game choice than what was originally proposed for that player.,They must keep the original game choice.,They must pass priority to the next player.,They must end the game immediately.
What must the active player (or the first involved player if the active player isn’t involved) do to prevent a fragmented loop from continuing?,Make a different game choice,Pay an additional cost to break the loop,Activate a counterspell on the loop trigger,Ignore the loop and let it continue
What does it mean for a loop to be fragmented?,Each player involved performs an independent action that brings the game state back to the same position multiple times,The loop is broken by a special card that stops all triggers,Only one player participates in the loop,The game automatically ends when the loop repeats
"In a fragmented loop, who is responsible for changing the game choice?","The active player, or if the active player isn’t involved, the first player in turn order who is involved",All players collectively decide together,The player with the highest mana pool gets to choose,The game engine selects a random player to change the choice
What happens after the non‑active player activates and resolves an ability that removes the effect the active player just granted?,The game state reverts to what it was before the loop began.,The game ends in a draw.,The active player automatically wins the game.,Nothing changes; the loop continues.
"To break the loop described, what must the active player do after the non‑active player resolves the counteracting ability?",Make a different game choice that is not activating the same ability again.,Pass the turn immediately.,Activate the same ability again.,Take damage equal to the ability’s cost.
What happens to a creature after its ability that grants flying is activated and then removed by an opponent’s ability that takes flying away?,It no longer has flying.,It becomes a permanent that cannot be targeted.,It gains a new ability that allows it to tap for mana.,It is immediately put into the graveyard.
"If a creature’s flying ability has been countered by an opponent’s effect, what must the active player do next?","Make a different game choice (i.e., not activate that creature’s ability again).",Pay an additional mana cost to keep the ability active.,Discard a card to regain the flying ability.,Pass the turn without making any new choice.
Which ability does the creature lack?,Flying,First strike,Trample,Vigilance
What determines whether a creature has flying in a fragmented‑loop situation?,The nonactive player’s decision to activate (or not activate) their permanent’s ability.,The active player’s choice to attack or defend.,The creature’s mana cost or color identity.,A random chance determined by a dice roll.
Why can the nonactive player prevent a fragmented loop?,"Because they can opt not to activate their permanent’s ability, thereby avoiding the loop.",By tapping the creature and sacrificing it.,By drawing a card from their library.,By paying life equal to the creature’s power.
What is the main difference between a card's ability that requires a player to choose a value and a card's ability that requires a player to pay mana for a card?,"A player must choose a value or pay mana as a cost, but the difference is that a cost is something that must be paid before the ability can be activated while a value is a number that the player must choose.","A cost is a requirement that can only be fulfilled by paying mana, while a value can be chosen freely.","A value is always an integer, while a cost can be any number of mana.","Both are the same, they are simply options that the player can decide."
What is the result of a loop that contains only mandatory actions?,The game is a draw.,The loop continues until one player chooses to end it.,The active player loses the game.,The non‑active player wins the game.
What does rule 731.5 state about a player being forced to perform an action that would end a loop?,No player can be forced to perform an action that would end a loop other than actions called for by objects involved in the loop.,"Yes, a player can be forced to end a loop by sacrificing any card they control.",Only the active player may be forced to end a loop.,A loop can only end if the opponent chooses to do so.
"In a mandatory loop, can a player be compelled to sacrifice an object that is not part of the loop in order to end the loop?","No, a player cannot be forced to sacrifice an object that is not part of the loop to end the loop.","Yes, the player must sacrifice any object they control to end the loop.",Only objects controlled by the active player can be sacrificed to end the loop.,The loop ends automatically without any sacrifices.
Can a player be forced to sacrifice Seal of Cleansing in a mandatory loop that involves an artifact?,"No, the player is not forced to sacrifice it.","Yes, the player must sacrifice it.","Yes, the player must sacrifice it and also destroy the artifact.","No, but the player must sacrifice it and then destroy the artifact."
What does the enchantment Seal of Cleansing allow a player to do?,Sacrifice it to destroy target artifact or enchantment.,Sacrifice it to destroy target creature.,Sacrifice it to draw two cards.,Sacrifice it to grant all creatures lifelink.
Is a player required to sacrifice Seal of Cleansing in order to destroy an artifact and break a mandatory loop that involves that artifact?,"No, a player is not forced to sacrifice Seal of Cleansing to end the loop.","Yes, any artifact in a loop must be destroyed by sacrificing Seal of Cleansing.","The player can choose to sacrifice the enchantment, but it is not mandatory.",Sacrificing Seal of Cleansing automatically ends the loop regardless of the player’s choice.
"When a loop contains an effect that says “\[A\] unless \[B\]”, can a player be compelled to perform \[B\] to stop the loop?","No, no player can be forced to perform \[B\]; if no one chooses \[B\], the loop continues as though \[A\] were mandatory.","Yes, \[B\] must be performed to break any loop that includes an “unless” clause.",The loop will only continue if \[A\] is performed; otherwise it stops automatically.,\[B\] can be performed only if the player wants to end the loop.
What does rule 731.5 say about a player’s obligations when a loop is underway?,"It states that a player cannot be forced to perform an action that would end a loop, unless the action is called for by objects involved in the loop.",It requires that all actions needed to end a loop must be performed by the player.,It allows players to choose whether to end the loop at any point.,It mandates that loops must always be broken by sacrificing a creature.
"In a Magic: The Gathering loop, can a player be forced to perform an action [B] to break the loop?","No, a player cannot be forced to perform [B] to break a loop.","Yes, any player must perform [B] to break the loop.",Only the active player can be forced to perform [B].,The loop ends automatically without any action.
"If no player chooses to perform action [B] in a loop, how does action [A] behave?",Action [A] continues as though it were mandatory.,Action [A] is canceled.,Action [A] becomes optional.,The loop ends immediately.
