question,answer,first_wrong_answer,second_wrong_answer,third_wrong_answer
What is the effect of a spell that says “Target creature gets +4/+4 until end of turn”?,It increases the creature’s power and toughness by 4 each until end of turn.,It grants the creature haste.,It removes all counters from the creature.,It makes the creature lose 4 power and toughness.
At which layer are temporary +4/+4 buffs applied to a creature?,Layer 7c,Layer 7b,Layer 5,Layer 6
What effect does an enchantment that says “Creatures you control get +0/+2” have on those creatures?,"It gives each creature you control a bonus of 0 to power and +2 to toughness (i.e., +0/+2).",It gives each creature you control a bonus of +2 to power and 0 to toughness.,It gives each creature you control a +1/+1 bonus.,It removes 2 toughness from each creature you control.
In which layer of the continuous‑effect system does the enchantment “Creatures you control get +0/+2” apply?,Layer 7c (the power and toughness modifiers sublayer).,Layer 6 (damage and state‑based actions).,Layer 5c (status changes).,Layer 8 (triggered abilities).
What is the effect of an effect that says “Target creature becomes 0/1 until end of turn”?,It sets the creature’s base power to 0 and base toughness to 1 until end of turn.,It gives the creature a 0/0 power/toughness until end of turn.,It doubles the creature’s power and toughness until end of turn.,It removes all counters from the creature.
In which layer of the layer system does the effect “Target creature becomes 0/1 until end of turn” apply?,Layer 7b.,Layer 7c.,Layer 4.,Layer 6.
"If a creature has a base 5/5, a +4/+4 spell, a +0/+2 enchantment, and a +1/+1 counter, and an effect that says “Target creature becomes 0/1 until end of turn” is applied, what will its power and toughness be at the end of the turn?",5/8.,4/7.,0/1.,10/10.
"If an effect starts to apply in one layer and the ability generating it is removed during the process, what happens to that effect?","It continues to be applied to the same set of objects in each other applicable layer and/or sublayer, even if the ability is removed.",It stops applying once the ability that generated it is removed.,It only applies to objects that were present when it first started.,It only applies to the layer where it began and does not affect other layers.
Which layer applies the control‑changing part of Act of Treason?,Layer 2,Layer 5,Layer 6,Layer 7c
Which layer applies the haste‑adding part of Act of Treason?,Layer 6,Layer 2,Layer 5,Layer 7c
The “Gain control” portion of Act of Treason is an example of which type of effect?,Control‑changing effect,Power‑toughness‑changing effect,Color‑changing effect,Ability‑adding effect
The “It gains haste” portion of Act of Treason adds which ability to the creature?,It grants the creature the Haste ability,It grants the creature Flying,It grants the creature Deathtouch,It grants the creature Lifelink
What does it mean for a creature to “gain haste until end of turn”?,It allows the creature to attack and block during the turn it was given haste.,It grants the creature double strike.,It removes all counters from the creature.,It causes the creature to lose one life per turn.
In which layer of the layering system is the effect of giving a creature haste applied?,Layer 6,Layer 4,Layer 7c,Layer 2
Which two types of effects are applied by the rule “All non‑creature artifacts become 2/2 artifact creatures until end of turn”?,Type‑changing effect and power‑and‑toughness‑setting effect,Only a type‑changing effect,Only a power‑and‑toughness‑setting effect,No effect is applied
In which layer is the type‑changing part of that effect applied?,Layer 4,Layer 2,Layer 6,Layer 7b
In which layer is the power‑and‑toughness‑setting part of that effect applied?,Layer 7b,Layer 4,Layer 2,Layer 6
Which layer of the layering system is used to apply type‑changing effects such as turning a non‑creature artifact into a creature?,Layer 4,Layer 2,Layer 7b,Layer 1
"In which layer are power‑and‑toughness setting effects applied, such as assigning a permanent a new 2/2 value?",Layer 7b,Layer 4,Layer 6,Layer 5
"If a type‑changing effect turns a non‑creature artifact into a creature, which layer is applied **before** the power‑and‑toughness setting effect that assigns it 2/2?",Layer 4 is applied before Layer 7b,Layer 7b is applied before Layer 4,Layer 2 is applied before Layer 7b,Layer 7a is applied before Layer 4
Which layer in the layering system ensures that a permanent remains a land even after a creature effect is applied?,Layer 4 (type‑changing layer),Layer 7b (power‑and‑toughness layer),Layer 5 (color‑changing layer),Layer 1 (rule objects layer)
"During the resolution of a continuous effect that both changes a permanent’s type and sets its power and toughness, the type change is applied in which layer relative to the power‑and‑toughness setting?",Layer 4 precedes Layer 7b,Layer 7b precedes Layer 4,Layer 6 precedes Layer 7b,Layer 2 precedes Layer 4
What does a “Target creature gets +1/+1 until end of turn” effect do in layer 7c?,Increases both the creature’s power and toughness by one.,Only increases the creature’s power.,Decreases the creature’s power and toughness by one.,Changes the creature’s color but not its stats.
"In the Magic layering system, which layer is used for temporary +1/+1 until end‑of‑turn effects?",Layer 7c.,Layer 4.,Layer 7b.,Layer 8.
What will Svogthos become if the first effect is applied again?,4/4 land creature,7/7 land creature,11/11 land creature,a non‑land creature
What will be the power and toughness of Svogthos when the first effect is applied again?,4/4,11/11,7/7,no power or toughness at all
What system is used to determine the order in which continuous effects are applied within a layer or sublayer?,A timestamp system,Layer priority numbers,The color of the card that generated the effect,The number of turns that have passed
"If two continuous effects apply to the same object in the same layer, which effect is applied first?",The effect with the earlier timestamp,The effect with the later timestamp,The effect that was created last,The effect that has higher power or toughness
"When resolving continuous effects in a sublayer, which effect takes precedence if they have different timestamps?",The effect with the earlier timestamp,The effect with the same timestamp,The effect that appears on the battlefield first,The effect that costs more mana to produce
Which continuous effect is applied first when multiple effects target the same object?,An effect with an earlier timestamp is applied before an effect with a later timestamp.,The effect that appears on the card with the highest mana cost is applied first.,Effects are applied in the order they were declared by the active player.,The effect that has the highest power or toughness is applied first.
What happens to continuous effects generated by a static ability when the object it’s on receives a new timestamp?,"Each continuous effect receives a new timestamp, but the relative order of those timestamps remains the same.",All continuous effects keep their original timestamps.,Only the first continuous effect receives a new timestamp.,The continuous effects are applied before all other effects regardless of timestamp.
How is the relative order of continuous effects’ timestamps affected when the object with a static ability receives a new timestamp?,The relative order remains the same.,The relative order is reversed.,The relative order becomes arbitrary.,The relative order is lost.
"When Rune of Flight is attached to Colossus Hammer, which timestamp does the flying ability granted by Rune of Flight receive?",Rune of Flight’s timestamp (the later of the two),Colossus Hammer’s timestamp (the earlier of the two),The timestamp from when the enchantment spell resolves,A completely random timestamp unrelated to the objects
"If Colossus Hammer, enchanted by Rune of Flight, becomes attached to a creature, what happens to the timestamps of its abilities?","Both abilities receive new timestamps, but their relative order stays the same",The timestamps remain unchanged even after attachment,One ability gets a later timestamp while the other gets an earlier one,Both abilities lose their timestamps and become untimed
"According to rule 613.7a, what determines the timestamp of a continuous effect generated by a static ability?",The later of the object the ability is on or the effect that created the ability,The earlier of those two timestamps,The time when the spell that enchanted the object resolves,The number of turns the object has been on the battlefield
"When Colossus Hammer becomes attached to a creature, what happens to the timestamps of its abilities?","Both abilities receive new timestamps, but the relative order of those timestamps remains the same.",Both abilities keep the same timestamps they had before attachment.,Only one of the abilities receives a new timestamp.,"The timestamps are reassigned randomly, with no consistent order."
"When a counter is placed on an object or a player, what timestamp does it receive?",It receives a timestamp at the time it’s put on the object or player.,It receives no timestamp.,It receives a timestamp equal to the object’s creation time.,It receives a timestamp that is always the same as the previous counter’s timestamp.
"If an object or player already has one or more counters of a certain kind, what happens to all counters of that kind when a new counter of the same kind is added?",Each counter of that kind receives a new timestamp identical to that of the new counter.,Only the new counter receives a timestamp.,All existing counters keep their original timestamps.,All existing counters are removed and replaced by the new counter.
When does an object receive a timestamp?,At the time it enters a zone.,When it is tapped.,When it attacks.,When it is cast.
When does a permanent receive a new timestamp?,Each time it turns face up or face down.,Only when it enters the battlefield.,Only when it is tapped or untapped.,Only when it is cast from the hand.
What happens to a double‑faced permanent each time it transforms or converts?,It receives a new timestamp.,It gains an additional ability.,It becomes a creature.,It is removed from the game.
When does a double‑faced permanent receive a new timestamp?,Each time it transforms or converts.,When it attacks.,When it is tapped or untapped.,When it deals combat damage.
When does a conspiracy card receive a timestamp?,"At the beginning of the game, and again when it turns face up if it was face down.",When it is tapped during a player's turn.,When it is put onto the battlefield from the graveyard.,At the start of each of the player's turns.
What happens to the timestamp of a conspiracy card that starts the game face down?,It receives a new timestamp when it turns face up.,It never receives a timestamp.,It receives a timestamp at the end of the game.,It receives a timestamp only if it is a face‑up card.
When does a face‑down conspiracy card receive a new timestamp?,When it turns face up.,When it is tapped.,When it deals combat damage.,When it is discarded.
What triggers a sticker to receive a new timestamp?,"When the sticker is put on an object, when the object it’s on receives a new timestamp, and when the object becomes part of a merged permanent.",A sticker receives a new timestamp only when it is destroyed and then returned to play.,Stickers do not receive timestamps; only permanents do.,A sticker gets a new timestamp every time a player declares an attack.
Under what circumstances does a sticker receive a new timestamp immediately after the object's new timestamp?,"When the object the sticker is on receives a new timestamp, the sticker receives a new timestamp immediately afterward.","When the object the sticker is on is tapped, the sticker receives a new timestamp.","When the object the sticker is on changes control, the sticker receives a new timestamp.","When the object the sticker is on becomes face‑down, the sticker receives a new timestamp."
"When the object a sticker is on receives a new timestamp, what happens to the sticker’s timestamp?",It receives a new timestamp immediately after that one.,It keeps its original timestamp unchanged.,It receives a timestamp only after the next turn begins.,It is removed from the battlefield.
"If the object a sticker is on becomes part of a merged permanent, when does the sticker receive a new timestamp?",It receives a new timestamp at that time.,It receives a timestamp after the merged permanent’s last ability resolves.,It never receives a new timestamp.,It receives a new timestamp only when the merged permanent dies.
"When a sticker is on an object and that object becomes part of a merged permanent on the battlefield, what happens to the sticker’s timestamp?",It receives a new timestamp at that time.,The sticker is removed from the object.,The sticker keeps its original timestamp unchanged.,The sticker is moved to the top of the stack.
"If an object has more than one sticker on it as it enters a zone or becomes part of a merged permanent, what happens to the relative timestamp order of those stickers?",The relative timestamp order of those stickers remains unchanged.,The stickers receive new timestamps in APNAP order.,The stickers are reordered based on the controller’s preference.,All stickers are removed and replaced with new ones.
Which group of objects receives an earlier relative timestamp when multiple objects are stamped simultaneously?,Objects controlled by the active player (or owned by the active player if they have no controller),Objects controlled by the inactive player,All objects are stamped in the order they entered the zone,Objects are stamped in reverse chronological order
"After the active player's objects, which objects are next in relative timestamp order?",Each other player in turn order,Objects controlled by the active player again,All objects that entered the zone simultaneously,Objects that are enchanted or attached
"In the APNAP order described in rule 613.7m, what does APNAP stand for?","Active Player, then Non‑active Player","Attack, Protect, Not Attack, Play","Always, Pass, No, Player","Auto, Pause, Next, Activate, Play"
"When a continuous effect generated by an object’s static ability and a continuous effect generated by a resolving spell or ability that applies to that object would receive the same timestamp, which effect receives an earlier relative timestamp?",The continuous effect from the object's own static ability,The continuous effect from the resolving spell or ability,Both effects receive the same timestamp,The active player's controller's effect receives earlier timestamp
In what situation does a static ability’s continuous effect get an earlier relative timestamp than a continuous effect from a resolving spell or ability?,"When both effects would otherwise receive a timestamp simultaneously, such as when an effect puts the object onto the battlefield and sets its characteristics",When the static ability resolves first in the stack,When the resolving spell is cast by the active player,When the object is controlled by a non‑active player
"When a dependency exists between two continuous effects, which system determines their application order?",The dependency system overrides the timestamp system.,The timestamp system always takes precedence.,The older effect always applies first.,Both effects apply simultaneously regardless of order.
What does it mean that a dependency overrides the timestamp system?,It means the dependency takes precedence over the timestamp system when determining the order of effect application.,It means timestamps are ignored entirely.,It means the game resets all timestamps.,It means dependencies are not used in layers.
What criteria must be satisfied for one effect to be considered dependent on another effect?,"It is applied in the same layer (and sublayer, if applicable), applying the other would change its text or existence, and neither or both effects are from characteristic‑defining abilities.","It is applied in a different layer, and both effects must be from characteristic‑defining abilities.","The effect can be applied in any layer, regardless of the other effect’s layer, as long as the other effect is from a characteristic‑defining ability.","The effect is considered dependent if it is applied in the same layer, but it does not need to change the text or existence of the first effect."
What does rule 613.8a say about an effect that does not meet the conditions for dependency?,It is considered independent of the other effect.,It is automatically canceled.,It must be removed from the battlefield.,It gains additional abilities.
"If an effect is deemed independent, what does that imply about its relationship with other effects?",It does not rely on the other effect for its application.,It becomes a characteristic‑defining ability.,It must always appear after dependent effects.,It is ignored by the layer system.
"When several dependent effects would apply simultaneously, how are they applied?",They are applied in timestamp order relative to each other.,They are applied in the order they were written on the cards.,They are applied randomly each turn.,They are applied only after all non‑dependent effects have resolved.
What happens if several dependent effects form a dependency loop?,The rule is ignored and the effects in the dependency loop are applied in timestamp order.,The loop causes a draw of the game.,The loop is broken by removing the oldest effect.,The loop is resolved by applying all effects simultaneously.
What happens to the application rule when several dependent effects form a dependency loop?,"The rule is ignored, and the effects are applied in timestamp order.",The effects are applied in reverse timestamp order.,The effects are not applied at all.,The effects are applied immediately after the first effect.
"In a dependency loop of effects, how are the effects applied?",In timestamp order.,In alphabetical order.,In random order.,All at once.
After which event is the order of remaining continuous effects reevaluated?,After each effect is applied.,At the beginning of each turn.,When combat begins.,When a player chooses to reorder the stack.
What can cause the order of remaining continuous effects to change?,When an effect that has not yet been applied becomes dependent on or independent of one or more other not yet applied effects.,When a permanent leaves the battlefield.,When a spell is cast.,When a card is drawn.
What can one continuous effect do to another continuous effect?,Override it,Duplicate it,Ignore it,Combine it with other effects
Under what condition might one continuous effect override another?,When the result of one effect determines whether the other applies or what it does,When both effects are from the same card,When the effects target different permanents,When the effects are activated abilities rather than continuous effects
"When two continuous effects apply to the same creature and conflict, which effect determines the creature’s final state?","The effect that was generated most recently (i.e., has the later timestamp) wins.",The effect that deals more damage wins.,Only effects with the shortest duration win.,All effects stack and are applied simultaneously.
"If a continuous effect that conflicts with another has a duration (such as ""until end of turn"") or comes from a non‑Aura source, does that change which effect wins?","No, the later‑generated effect still wins regardless of duration or source type.",Only effects with longer duration can win.,Only instant‑duration effects can win.,"Duration has no bearing on effect order, but the source type does."
Will a creature that is not originally white receive the +1/+1 bonus from a continuous effect that says “White creatures get +1/+1” after an aura changes its color to white?,"Yes, the creature gets +1/+1 regardless of its previous color.","No, the creature only receives the bonus if it was white before the enchantment.","No, the effect does not apply to enchanted creatures.","No, the enchantment does not change the creature’s color for the purpose of continuous effects."
When are continuous effects that affect players applied in Magic: The Gathering?,"After the determination of objects’ characteristics, in timestamp order.",During the player’s upkeep.,When the effect first resolves.,Only at the beginning of the turn.
What effect can change a player’s maximum hand size?,An effect that modifies a player’s maximum hand size.,An effect that modifies a player’s life total.,An effect that changes the number of lands a player can play per turn.,An effect that alters the number of opponents a player can have.
What effect may force a creature to attack during its controller’s turn if it is able?,An effect that requires a creature to attack this turn if able.,An effect that requires a creature to block this turn if able.,An effect that requires a creature to tap during combat.,An effect that grants a creature vigilance.
When are continuous effects that modify game rules applied relative to other continuous effects?,After all other continuous effects have been applied.,Before any continuous effects are applied.,At the same time as other continuous effects.,In timestamp order.
Which rule specifies the order in which continuous effects that modify the costs of spells or abilities are applied?,rule 601.2f,rule 601.2c,rule 601.2b,rule 601.2d
"When continuous effects that affect the costs of spells or abilities are not governed by rule 601.2f, how are they applied?",in timestamp order,in reverse timestamp order,in no particular order,in the order they were created
"If you want to check the exact order for applying all other continuous effects that affect spell or ability costs, which rules should you refer to?",rules 613.7 and 613.8 (timestamp order and dependency),rules 602.1 and 602.2 (combat order),rules 604.3 and 604.4 (mana ability triggers),rules 606.5 and 606.6 (card draw sequencing)
How are continuous effects that affect the costs of spells or abilities applied?,In timestamp order.,In alphabetical order of the effect names.,Randomly each time a spell is cast.,In reverse order of the effects’ appearance on the battlefield.
Which rule specifies that continuous effects that affect costs are applied in timestamp order?,Rule 601.2f.,Rule 613.7.,Rule 613.8.,Rule 615.
What is a replacement effect in Magic: The Gathering?,A continuous effect that watches for a specific event and completely or partially replaces that event with a different event as it occurs.,An effect that permanently alters a permanent’s characteristics.,An effect that triggers whenever a spell is cast.,An effect that applies only at the beginning of a turn.
What distinguishes replacement effects from other continuous effects in terms of when they are applied?,Replacement effects evaluate and act at the moment an event happens; they are not locked in ahead of time.,Replacement effects are applied only after the game has ended.,Replacement effects can be chosen at any time before the next upkeep.,Replacement effects are always triggered by a creature attacking.
What indicates that an effect is a replacement effect?,The effect uses the word “instead.”,The effect has a cost of mana.,The effect requires a player to sacrifice a permanent.,The effect is listed under “Triggered Abilities.”
What is the primary function of a replacement effect in gameplay?,"- It watches for a particular event that would happen and replaces it with a different event, acting as a “shield” around the thing it affects.
- It grants a creature extra combat damage equal to its power.
- It allows a player to draw an additional card whenever they cast a spell.
- It increases the toughness of all creatures on the battlefield by one.","- It watches for a particular event that would happen and replaces it with a different event, acting as a “shield” around the thing it affects.
- It grants a creature extra combat damage equal to its power.
- It allows a player to draw an additional card whenever they cast a spell.
- It increases the toughness of all creatures on the battlefield by one.","- It watches for a particular event that would happen and replaces it with a different event, acting as a “shield” around the thing it affects.
- It grants a creature extra combat damage equal to its power.
- It allows a player to draw an additional card whenever they cast a spell.
- It increases the toughness of all creatures on the battlefield by one.","- It watches for a particular event that would happen and replaces it with a different event, acting as a “shield” around the thing it affects.
- It grants a creature extra combat damage equal to its power.
- It allows a player to draw an additional card whenever they cast a spell.
- It increases the toughness of all creatures on the battlefield by one."
Which word is commonly used in the wording of replacement effects to signal that an event will be replaced?,"- Instead
- Then
- When
- Until","- Instead
- Then
- When
- Until","- Instead
- Then
- When
- Until","- Instead
- Then
- When
- Until"
"According to the rules, replacement effects are compared to what around the things they affect?","""Shields""","""Bombs""","""Bridges""","""Magnets"""
Which type of replacement effect uses the word “skip”?,Effects that use the word “skip” are replacement effects.,Effects that use the word “instead” are replacement effects.,Effects that use the word “enter” are replacement effects.,Effects that use the word “draw” are replacement effects.
What kinds of events can a “skip” replacement effect replace?,"Events, steps, phases, or turns.","Creatures, spells, and permanents.","Damage, counters, and life totals.","Abilities, triggers, and counters."
"What does a replacement effect that uses the word ""skip"" do?","Replaces the specified event, step, phase, or turn with nothing.",Replaces the event so it happens twice.,Replaces the event so it is delayed until the next turn.,Replaces the event so it occurs but at a cost.
"Which of the following can a ""skip"" replacement effect replace?","Events, steps, phases, or turns.","Creatures, spells, or cards in hand.",Mana sources or mana pools.,Card draws or life total changes.
"What happens to a step if a replacement effect says ""skip"" it?",The step is removed entirely; no actions are taken during it.,The step is repeated twice.,The step is postponed until the end of the turn.,The step is converted into an instant action.
Which phrase signals that an effect is a replacement effect for a permanent entering the battlefield?,This permanent enters with…,This permanent attacks…,This permanent draws a card…,This permanent is tapped.
What type of effect is described by the phrase “As this permanent enters…”?,Replacement effect,Continuous effect,Activated ability,Triggered ability
Which of the following is NOT a phrase that indicates a replacement effect involving a permanent entering the battlefield?,This permanent attacks…,This permanent enters with…,As this permanent enters…,This permanent enters as…
"Which type of effect replaces an event, step, phase, or turn with another event or with nothing?",Replacement effect,Triggered ability,Activated ability,Continuous effect
What does the word “skip” indicate in replacement effects?,It indicates the event will be replaced with nothing,The event will happen twice,The event will be postponed,The event will happen immediately
Which of the following describes a replacement effect that modifies how a permanent enters the battlefield?,"Replacement effects that read “[This permanent] enters …”, “[Objects] enter …”, or “… enters as …”",Triggered abilities that activate when a permanent enters the battlefield,Static abilities that change a permanent’s characteristics while it remains on the battlefield,Control‑changing effects that force a player to take control of a permanent as it enters
What do some replacement effects apply to?,Damage from a source,Mana from a source,Card drawing from a source,Creature ability from a source
Which replacement effects can modify damage from a source?,Replacement effects that apply to damage from a source,Replacement effects that apply to card names,Replacement effects that apply to life totals,Replacement effects that apply to spell casting costs
Are there any special restrictions on casting a spell or activating an ability that generates a replacement effect?,"No, there are no special restrictions.","Yes, you must pay an additional mana cost.","Yes, you can only cast them during your main phase.","Yes, you must discard a card."
How long do replacement effects last?,They last until they’re used up or their duration has expired.,Only until the end of the current turn.,Only until the next combat phase.,Only until the game ends.
How long does a replacement effect last?,Until it’s used up or its duration has expired.,Until the creature that cast it leaves the battlefield.,While the controller’s turn continues.,While the player has mana available.
When must a replacement effect be in place for it to modify an event?,Before the event occurs,After the event has happened,During the middle of the event,"At any point, even after the event resolves"
Why are spells or abilities that generate replacement effects usually cast or activated in response to the event they are meant to affect?,Because they need to resolve before the event so the replacement can take effect,Because they can only be used after the event has finished,Because they are intended to ignore the event entirely,Because they cannot be played at all unless the event has already happened
When can a player activate the ability to regenerate a creature?,"In response to a spell that would destroy it, before that spell resolves.","During the combat phase, regardless of what the opponent does.","At the beginning of your own upkeep, after any spells have resolved.",After the spell that would destroy it has already resolved.
Why is it impossible to regenerate a creature after the destroying spell resolves?,"Because replacement effects must exist before the event occurs; once the spell resolves, the event has already happened.","Because the creature’s power becomes zero when the spell resolves, preventing regeneration.",Because you would have to pay additional mana after the spell resolves.,Because regeneration is only allowed during the first turn of the game.
"According to the rule, can a replacement effect affect an event that has already happened?","No, replacement effects must be in place before the event occurs; they cannot retroactively alter events that have already resolved.","Yes, if the effect is activated as a response to the event.",Only if the event is a spell cast during your own turn.,Only if the effect is an instant spell that can be cast after the event.
When is it too late to regenerate a creature?,After the destroying spell resolves.,While the spell is still on the stack.,During the casting of the spell.,After the creature has dealt damage.
How much damage does a creature that normally deals 2 damage actually deal when two double‑damage replacement effects apply?,8 damage,4 damage,16 damage,2 damage
"When a creature with two double‑damage replacement effects deals damage, how many times is the damage doubled?",twice,once,three times,zero times
"When an event is replaced by a replacement effect, what becomes of the original event?",It never happens.,It still occurs but with reduced damage.,It triggers all abilities on the stack again.,It is automatically deleted from the game state.
"If a modified event includes instructions that cannot be carried out, what happens to those instructions?",They are simply ignored.,The entire event is canceled and no damage is dealt.,The game pauses until a player resolves the conflict.,The instruction causes a new replacement effect to trigger.
What happens when a replacement effect modifies an event that includes an instruction that cannot be performed?,The impossible instruction is ignored.,The entire event is canceled.,The instruction is partially executed.,The event becomes illegal.
What happens when a replacement effect would replace an event that never occurs?,It simply does nothing.,It is applied regardless of the event.,The event still happens normally.,The replacement effect creates a new event.
"If a source would deal 0 damage, what is the result?",It does not deal damage at all.,It deals 1 damage instead.,The zero‑damage event can still be replaced.,The source deals damage to a different object automatically.
What happens when a source would deal 0 damage?,It does not deal damage at all.,The source still deals 0 damage but the event counts as happening.,The source deals 1 damage instead of 0.,The source triggers an effect even though no damage is dealt.
What is the effect of replacement effects that would increase the damage dealt by a source that would deal 0 damage?,They have no effect because there is no event to replace.,They cause the source to deal the increased damage anyway.,They double the damage that would have been dealt.,They change the source into a permanent that deals damage to a different target.
What does the regeneration keyword do in the game?,"The next time a permanent would be destroyed this turn, it is not destroyed; instead all damage marked on it is removed and the permanent is tapped.",A permanent’s damage is increased instead.,A permanent is dealt 2 damage.,A permanent is turned into a creature of a different type.
What happens to a permanent with regeneration that would be destroyed this turn?,"All damage marked on it is removed and the permanent taps, preventing its destruction.",It receives an additional 3 damage.,It is exiled from the game.,It remains unchanged and still takes damage.
Which statement best describes regeneration?,A destruction‑replacement effect that removes damage from a permanent and taps it instead of destroying it.,An effect that increases a permanent’s power and toughness.,A static ability that makes a permanent indestructible.,A trigger that deals damage to all opponents.
