question,answer,first_wrong_answer,second_wrong_answer,third_wrong_answer
What color is used to denote common cards in the set symbols?,black,silver,gold,red‑orange
Which color symbol indicates a mythic‑rare card?,red‑orange,black,silver,gold
What color is used for uncommons?,silver,black,gold,red‑orange
Which color symbol is used for rares?,gold,black,silver,red‑orange
"What does the collector number ""154/249"" indicate?",It means the card is the 154th card out of 249 in its set.,It shows the card’s rarity.,It lists the card’s mana cost.,It tells how many copies are in a booster pack.
What is the purpose of a collector number on a Magic card?,To help organize the cards by numbering them within the set.,To indicate the card’s power and toughness.,To identify the card’s special abilities.,To specify the card’s color identity.
What does a creature’s toughness indicate?,How much damage must be dealt to it in a single turn to destroy it.,The number of times it can block a creature.,How much damage it deals when it attacks.,The maximum damage it can receive over multiple turns.
"If a creature has a toughness of 5, how much damage must be dealt to it in a single turn to destroy it?",5 damage.,4 damage.,10 damage.,1 damage.
What does the special box on a planeswalker card indicate?,its loyalty,its power,its toughness,its mana cost
What type of special box do planeswalker cards display instead of power and toughness?,loyalty,power,toughness,ability
What does the special box on a planeswalker card display?,its loyalty,its toughness,its power,the number of cards in your hand
What does a Magic card’s type tell you?,It tells you when you can play the card and what happens to it after you do.,It tells you the card’s mana cost.,It tells you the card’s artist.,It tells you how many copies of the card exist in the set.
How many types can a Magic card have?,One or more.,Exactly one.,Only two.,No more than five.
What type of Magic card can only be cast during a main phase of one’s own turn?,Sorcery,An artifact,A creature,A land
What happens when you cast the sorcery card that says “Draw two cards”?,Draw two cards,Deal two damage to a creature,Return a card from the graveyard to your hand,Give a creature +2/+2 until end of turn
What is a sorcery?,A sorcery represents a magical incantation.,A creature that can only be summoned during combat.,A permanent that can be cast at instant speed.,A spell that can be played while another spell is on the stack.
When can you cast a sorcery?,Only during a main phase of one of your own turns.,Only during the combat phase of any player's turn.,Only during the main phase of your opponent's turn.,Only while another spell is on the stack.
What prevents you from casting a sorcery when another spell is already on the stack?,You can’t cast it when another spell is on the stack.,You can only cast it after the stack is cleared.,It can be cast during any phase as long as you pay the mana cost.,The stack status has no effect on casting sorceries.
What does the instant spell with the ability “Destroy target nonblack creature.” do?,It destroys a target nonblack creature.,It returns a nonblack creature to its owner's hand.,It deals 2 damage to a target nonblack creature.,It turns a nonblack creature into a black creature.
What kind of creature can be targeted by the ability “Destroy target nonblack creature.”?,Any nonblack creature.,Only black creatures.,Any creature that is black or nonblack.,Any creature with the “black” color identity.
When can an enchantment be cast?,Only when you could cast a sorcery,During combat,During your opponent’s main phase,Whenever you can cast a creature
Where is an enchantment placed after it is cast?,"In front of you, near your lands",In the middle of the table,On the opponent’s side,In the graveyard
What is the effect of the card “Enchanted Mountain”?,It turns the enchanted Mountain into a 7/7 red Giant creature with haste.,It turns the enchanted Mountain into a 7/7 white Human creature with vigilance.,It gives the enchanted Mountain flying and deathtouch.,It creates a token copy of the enchanted Mountain.
What type of card is “Enchanted Mountain”?,Enchantment — Aura.,Creature — Giant.,Artifact — Equipment.,Sorcery.
Which type of permanent can “Enchanted Mountain” enchant?,Mountain.,Forest.,Plains.,Island.
What does an artifact represent?,A magical relic,A creature,A spell,An enchantment
What type of permanent is an artifact?,A permanent,A creature,An enchantment,A spell
Can you cast an artifact without a specific land type?,"Yes, because most artifacts are colorless","No, you must have a land of the artifact’s color",Only lands with “Artifact” in their name can cast it,Only a special artifact‑casting spell can enable it
What is an Equipment in Magic?,A type of artifact that can be attached to a creature you control.,A spell that can be cast to draw cards.,A creature that cannot be targeted by spells.,An enchantment that gives a creature flying.
What happens to an Equipment when the equipped creature leaves the battlefield?,It remains on the battlefield unattached to any creature.,It is exiled along with the creature.,It is returned to its owner's hand.,It is discarded to the graveyard.
What happens to an Equipment when the creature it is attached to leaves the battlefield?,The Equipment remains on the battlefield.,The Equipment is also destroyed.,The Equipment is returned to its owner's hand.,The Equipment is exiled.
What must you do to attach an Equipment to a creature you control?,Pay its equip cost.,Sacrifice the creature.,Tap the creature.,Put it onto the battlefield as a creature.
What happens when you remove a wish counter from Ring of Three Wishes?,"You search your library for a card, put that card into your hand, then shuffle your library.",You sacrifice a creature and draw two cards.,You exile a card from an opponent’s graveyard and gain 3 life.,You put a card from your hand onto the battlefield and lose 2 life.
What must you do after searching your library for a card and putting it into your hand?,Shuffle your library.,Return the card to the top of your library.,Announce your next turn.,Discard a card from your hand.
Which type of permanent can both attack and block?,Creatures,Artifacts,Enchantments,Planeswalkers
What is the primary distinguishing function of creatures among permanents?,They can attack and block,They have a mana cost,They can be tapped for spells,They are immune to counterspells
What prevents a creature from attacking or using an ability that has OT in its cost when it first enters the battlefield?,"Summoning sickness, Mana cost, Tap status, Combat phase",Summoning sickness,Mana cost,Tap status
"When can a creature block, regardless of how long it has been on the battlefield?","During the combat phase, even if it has summoning sickness, Only after it has been on the battlefield for a full turn, Only if it has no summoning sickness, Only during your main phase","During the combat phase, even if it has summoning sickness",Only after it has been on the battlefield for a full turn,Only if it has no summoning sickness
During which phase do creatures attack and block?,"Combat phase, Main phase, Upkeep phase, End step",Combat phase,Main phase,Upkeep phase
Artifact creatures are both artifacts and what?,Creatures,Enchantments,Spells,Planeswalkers
Which types of effects can influence an artifact creature?,Both artifact‑affecting and creature‑affecting effects,Only artifact‑affecting effects,Only creature‑affecting effects,"Neither, they are immune to all effects"
Artifact creatures normally share which of the following color characteristics?,"They are usually colorless, like other artifacts","They are usually red, like other creatures","They are usually blue, like other spells","They are usually green, like other lands"
What does the keyword ability Flying do?,A creature with flying can only be blocked by creatures that also have flying or reach.,It allows the creature to attack all opponents automatically.,It makes the creature immune to all damage.,It allows the creature to attack from a distance without needing to tap.
What does the keyword ability Vigilance do?,A creature with vigilance does not tap when it attacks.,It allows the creature to attack twice in one combat phase.,It prevents the creature from being blocked.,It gives the creature an extra life point.
What is the creature subtype Angel?,Angel is a creature subtype indicating a type of creature.,It represents a creature that can fly.,It is a legendary creature type.,It grants the creature infinite mana.
What does the keyword ability vigilance do?,It allows a creature to attack without tapping.,It gives a creature the ability to fly.,It lets a creature block twice per combat.,It grants a creature the ability to draw a card.
Which keyword ability means that attacking doesn’t cause a creature to tap?,Vigilance,Flying,First strike,Trample
What does Garruk’s ability let you do with the top five cards of your library?,Put all creature cards revealed this way into your hand and put the rest on the bottom of your library in any order.,Sacrifice all non‑creature cards revealed.,Destroy the creature cards revealed.,Shuffle all five cards back into your library.
What effect does the emblem granted by Garruk’s ability give you?,"Whenever you cast a spell, you may search your library for a creature card, put it onto the battlefield, then shuffle your library.",You may draw an extra card whenever you cast a spell.,You may exile all spells in your graveyard.,You may create a token creature for each spell you cast.
What happens to non‑creature cards when Garruk’s ability is used?,They are placed on the bottom of your library in any order.,They are discarded.,They are shuffled back into the library.,They are returned to your hand.
"What do you do with the creature cards revealed from the top five cards of your library when you activate Garruk, Caller of Beasts’s +1 loyalty ability?",Put all revealed creature cards into your hand.,Put all revealed creature cards onto the battlefield.,Discard all revealed creature cards.,Put the revealed creature cards on the bottom of your library.
"Which color must a creature card be to use Garruk, Caller of Beasts’s +3 loyalty ability to put it onto the battlefield?",Green.,Blue.,Red.,White.
"What does Garruk, Caller of Beasts’s -7 loyalty ability grant you, and what does it allow you to do each time you cast a spell?","An emblem that lets you search your library for a creature card, put it onto the battlefield, then shuffle your library.",An emblem that allows you to tap all your creatures each turn.,An emblem that gives you +1/+1 counters on all creatures.,An emblem that lets you destroy an opponent’s creature.
What happens to a planeswalker that has no loyalty counters?,It is put into its owner’s graveyard.,It is exiled.,It is tapped.,It is returned to its owner’s hand.
How are lands played onto the battlefield?,They are not cast as spells; they are simply placed onto the battlefield.,They must be cast as spells like other permanents.,They are tapped and moved from the hand to the battlefield.,They are removed from the battlefield and then returned as a new permanent.
What distinguishes lands from other permanents in terms of casting?,Lands are not cast as spells; they are just played onto the battlefield.,Lands must be cast with an additional mana cost.,Lands cannot be put onto the battlefield; they are only activated abilities.,Lands are always cast during the opponent’s turn.
During which phase can a player play a land?,During one of the player’s main phases while the stack is empty.,During any of the opponent’s main phases.,Only during the combat phase.,"Any time, even when the stack is not empty."
When can a player play a land?,Only during a main phase while the stack is empty.,During combat if the stack is empty.,During any phase regardless of the stack.,Only during the opponent’s turn.
How many lands may a player play in a single turn?,One.,Two.,Zero.,Four.
What are game zones in Magic: The Gathering?,They are the areas of play that exist on your table.,They are a type of card you can play.,They refer to the different phases of a turn.,They are the parts of the game controlled by the opponent.
What happens to a spell when you put it on the stack?,You take the card from your hand and put it in the middle of the table until it finishes resolving.,The spell resolves immediately and goes to the graveyard.,The spell is shuffled back into your library.,The spell stays in your hand until the end of the turn.
Where do spells go when they are put onto the stack?,In the middle of the table.,In the graveyard.,In your library.,On the battlefield.
What is the effect of deathtouch?,Any amount of damage dealt by the creature is enough to destroy the target creature.,A creature is considered too small to block.,The creature ignores the opponent’s mana cost.,There is no such ability in the game.
Which keyword ability allows a creature to destroy a creature with any amount of damage dealt?,Deathtouch,Reach,Flying,Haste
What happens when you tap a card that has the ability “T: Add G to your mana pool”?,It adds one green mana to your mana pool.,It adds one blue mana to your mana pool.,It creates a new creature token.,It removes a card from your hand.
What symbol is used to indicate that a permanent is tapped for an ability?,T (tap),C (cost),L (loyalty),R (return)
Which color of mana does the ability “T: Add G to your mana pool” produce?,Green,Blue,Red,White
"When do creatures, artifacts, enchantments, and planeswalkers enter the battlefield?",After they resolve,When you cast them,When you tap them,When you sacrifice a land
What must your opponent be able to tell about your permanents?,Whether they’re tapped,The number of cards in your hand,The mana cost of your spells,The color of your face
Where do you recommend putting your lands relative to you on the battlefield?,Closest to you,Farthest from you,Directly in front of your opponent,Directly behind your creatures
Which zone in Magic is shared by both players?,The battlefield,The hand,The graveyard,The exile zone
Who can tell whether permanents on the battlefield are tapped?,Both players,Only the active player,Only the non‑active player,Only the player who controls the permanent
What effect does an enchantment that reads “Enchant creature. Enchanted creature gets –1/–1 for each Swamp you control” have?,It gives the enchanted creature –1/–1 for each Swamp you control.,It gives the enchanted creature +1/+1 for each Swamp you control.,It gives the enchanted creature –1/–1 for each land you control.,It gives the enchanted creature +1/+1 for each Swamp you control.
"If a player controls four Swamps, how many –1/–1 counters will an enchanted creature receive from this ability?",Four –1/–1 counters.,Two –1/–1 counters.,Eight –1/–1 counters.,Four +1/+1 counters.
What keyword ability allows a creature to be blocked only by other creatures with the same ability or with reach?,Flying,Reach,First strike,Deathtouch
What happens when Scroll Thief deals combat damage to a player?,Draw a card,Gain control of a creature,Return a card to its owner's hand,Destroy a permanent
When does Scroll Thief’s ability trigger?,When it deals combat damage to a player,When it enters the battlefield,When it dies,When it taps
What is the power and toughness of Quag Sickness?,2/2,1/1,3/3,4/4
What creature types are associated with Quag Sickness?,"Bird, Wizard","Human, Elf","Goblin, Zombie","Dragon, Angel"
What determines the order in which spells and abilities resolve on the stack?,The last spell or ability that was put onto the stack resolves first.,The first spell or ability that was put onto the stack resolves first.,Spells resolve in alphabetical order.,The player who cast the spell decides the order.
When does the stack begin to resolve?,When both players choose not to cast any new spells or activate any new abilities.,When the first spell on the stack resolves.,When a player passes on their turn.,When the game ends.
What is the library?,library – the deck of cards a player keeps face‑down and draws from.,battlefield – the area where creatures and spells are played.,hand – the cards a player holds in their own possession.,graveyard – the zone where used or discarded cards go.
What does a player's deck become at the start of a game?,library – the draw pile that is face‑down and kept in order.,graveyard – the zone where cards go after use or discard.,battlefield – the zone where active permanents are placed.,hand – the set of cards a player keeps for their own use.
What is the graveyard?,It is your discard pile.,It is a zone where you keep artifacts.,It is a zone where creatures are stored after death.,It is a zone where you discard your hand at the beginning of the game.
Where do instant and sorcery spells go when they resolve?,They go to your graveyard.,They return to your hand.,They are exiled.,They stay on the battlefield.
"What happens to a card if an effect causes it to be discarded, destroyed, sacrificed, or countered?",It goes to your graveyard.,It returns to its owner's hand.,It is exiled.,It is shuffled back into the library.
"Does Magic: The Gathering use a shared graveyard for all players, or does each player have a separate one?",Each player has his or her own graveyard.,Both players share a single graveyard.,Only the player who won the game gets a graveyard.,The graveyard is not a game zone.
What is the exile zone in Magic: The Gathering?,"It is a zone set apart from the rest of the game where exiled cards are placed, remaining face up until an effect brings them back.",It is the zone where discarded cards go.,It is the area where destroyed cards are sent.,It is a zone only the opponent can use.
Who shares the exile zone?,Both players share the exile zone.,Only the player who cast the spell that exiled the card.,Only the opponent of the player who cast the spell.,Only the player who owns the exiled card.
When do exiled cards return to the game?,Exiled cards remain there until an effect that can bring them back resolves.,They return at the beginning of each player's upkeep.,They return when the owner draws a card.,They return automatically when the game ends.
What is the resource you need to cast spells?,"Mana, Energy, Spell Points, Coin",Energy,Spell Points,Coin
What happens when you tap a basic land?,Adds one mana of that land’s color to your mana pool.,Gives you extra life.,Destroys a creature.,Draws a card.
Where is mana stored until it is spent?,In the mana pool.,In the graveyard.,In the library.,On the battlefield.
Which of the following can produce mana?,"Basic lands, other lands, some creatures, artifacts, and spells.",Only basic lands.,Only artifacts.,Only creatures.
At what point does unused mana disappear from your mana pool?,It disappears at the end of each step or phase of the turn.,It disappears immediately after you tap a land.,It disappears when you cast a spell.,It disappears when you shuffle your library.
What does the ability text “Add G pool” mean?,It adds one green mana to your mana pool.,It puts one green mana on the battlefield.,It adds one green mana to your opponent’s mana pool.,It turns one green mana into colorless mana.
What does it mean to tap a permanent?,Turn the permanent sideways to show it has been used that turn.,Indicate that the permanent is removed from play.,Mark the permanent for destruction.,Signal that the permanent can be tapped again next turn.
What does the “oT” symbol in a card’s cost represent?,Tap this permanent.,Discard this permanent.,Sacrifice this permanent.,Transform this permanent.
Which mana color can a Plains produce when tapped?,White (W).,Blue (U).,Black (B).,Red (R).
What does tapping a card mean?,Turning it sideways,Turning it face down,Moving it to the graveyard,Burning it
When can you tap a card?,"To use a land for mana, to attack with a creature, or to activate an ability that costs OT",Turning it face down,Moving it to the battlefield,Burning it
What does the OT symbol indicate in a cost?,Tap this permanent,Pay life,Discard this permanent,Sacrifice this permanent
What usually happens when a permanent is tapped?,It has been used for the turn,It is removed from the game,It is shuffled into the library,It is flipped face‑down
When do you untap your tapped cards?,At the beginning of each of your turns,At the end of the opponent’s turn,When you cast a spell,When you declare blockers
What must happen before you can tap a permanent again?,It must be untapped (straightened out).,It must be a creature with “Haste”.,It must be on the battlefield.,It must have a mana cost of two.
When does a player untap their tapped cards?,At the beginning of each of your turns.,When you cast a spell of any type.,Whenever you roll a die.,Only if you are in a game of two versus two.
What creature type does the card *Soulmender* have?,Human Cleric,Elf Warrior,Zombie Sorcerer,Giant Knight
What does Soulmender’s tap ability do?,It taps to give you 1 life,It taps to deal 1 damage to target creature,It taps to draw a card,It taps to create a 1/1 token
What creature type is Soulmender?,Human Cleric,Human Wizard,Elf Warrior,Goblin
What are Soulmender’s power and toughness?,1/1,2/2,3/3,0/1
What does the ability “You gain 1 life” do?,Increases the controller’s life total by one.,Allows the controller to draw a card.,Deals one damage to an opponent.,Gives the controller one additional mana.
"During which phase may a player cast sorceries, creatures, artifacts, enchantments, and planeswalkers?",Only during a main phase when the stack is empty.,During the combat phase.,During any of the opponent’s main phases.,"At any time, including during other spells on the stack."
"What must be true about the stack in order to cast a sorcery, creature, artifact, enchantment, or planeswalker?",The stack must be empty.,The stack must contain at least one instant.,The stack must have exactly one spell on it.,The stack must have a permanent already in play.
Which of the following spell types are limited to being cast only during a main phase with no other spells on the stack?,"Sorceries, creatures, artifacts, enchantments, and planeswalkers.",Instants and sorceries.,All spell types can be cast at any time.,Only instants and sorceries.
When can instants be cast?,Instants can be cast at any time.,Only during your main phases.,Only when you have enough mana.,Only at the beginning of your turn.
What happens when you cast a spell?,"You take the card from your hand, show it to your opponent, and put it on the stack.",You immediately resolve the spell.,You remove the card from your hand but do not show it.,You put the card into the graveyard.
Where do spells live on the battlefield?,"The stack is the zone where spells live, usually in the middle of the table.",The battlefield.,The library.,The graveyard.
What must you decide when a spell has a “Choose one —” clause?,You choose which of the options you’re using.,You must choose all options.,You can skip the choice.,You choose randomly.
What do Aura spells target?,The permanents they’ll enchant.,Creatures only.,Players.,The stack.
What must you do with your lands to pay a spell’s cost?,"Tap your lands to produce the mana necessary to pay that cost, and pay it.",Leave the lands untapped and use the cost as free mana,Sacrifice the lands instead of tapping them,Tap lands only when the spell is in the graveyard
What happens immediately after a player pays the mana cost of a spell?,The spell has been cast.,The spell resolves immediately.,The spell is destroyed.,The spell is discarded.
What does the word “target” on a spell or ability mean?,You must choose one or more things for the spell or ability to affect.,It allows you to skip the casting cost.,It refers to the card that played the spell.,It means the spell can only affect lands.
Which kinds of things can you choose as targets?,"Only specific kinds, such as “target enchantment” or “target creature or player.”",Any card in your library.,Only permanents on the battlefield.,Only cards in your graveyard.
What happens if you can’t meet the targeting requirements when casting a spell or activating an ability?,You can’t cast the spell or activate the ability.,The spell is automatically added to the stack.,The ability resolves immediately.,The target is ignored and the spell still casts.
"After you choose targets for a spell, can you change your mind later?","No, you can’t change your mind once targets are chosen.","Yes, you can change targets while the spell is on the stack.","Yes, you can change targets after the spell resolves.","Yes, you can change targets when another player declares an ability."
What occurs if a target is no longer legal when a spell or ability resolves?,"The spell or ability can’t affect that target; if none of the targets are legal, the spell or ability is countered and does nothing.",The spell automatically changes the target to another legal object.,The spell ignores legality and proceeds as normal.,The spell is immediately countered regardless of legality.
What happens to an instant or sorcery after it resolves?,It has its effect and then is placed into the graveyard.,It stays on the battlefield.,It is returned to the hand.,It is moved to the exile zone.
"Where is a creature, artifact, enchantment, or planeswalker put when it resolves?","On the battlefield, in front of the player.",Into the graveyard.,Into the player's library.,Into the exile zone.
What term is used for cards that remain on the battlefield until something happens to them?,Permanent.,Spell.,Artifact.,Enchantment.
What happens after a spell or ability resolves?,Both players get the chance to play something new.,The stack is immediately cleared.,The game ends and the players replay the last turn.,The winner is decided by a coin flip.
"If the stack is empty after a spell resolves, what is the next action?",The current part of the turn ends and the game proceeds to the next part.,The stack is recreated with the same cards.,All permanents on the battlefield are put into the graveyard.,The players trade hands of cards.
"When a new spell is played after a resolution, where does it go?",On top of the stack.,At the bottom of the stack.,Directly onto the battlefield.,Into the opponent’s hand.
"If no one plays a new spell after a resolution, what occurs next?",The next thing waiting on the stack resolves.,The game skips to the next player's turn.,All cards in play are shuffled back into the deck.,The stack is left unchanged and the turn ends.
What spell resolves first when it is cast on top of another spell already on the stack?,The spell on top resolves first.,The spell that was on the bottom resolves first.,Both spells resolve simultaneously.,Only the last spell cast resolves; the other is discarded.
"In a situation where Shock is on the stack and you cast Show of Valor on top of it, which spell resolves first?",Show of Valor resolves before Shock.,Shock resolves before Show of Valor.,Show of Valor and Shock resolve at the same time.,Only Shock resolves; Show of Valor is ignored.
"If Show of Valor is cast before Shock, what will happen when they both resolve?","Shock resolves first, dealing 2 damage to Auramancer and destroying it; Show of Valor then resolves but has no target and is countered.","Show of Valor resolves first, destroying Auramancer; Shock then has no target and is countered.",Both resolve simultaneously and Auramancer takes 4 damage.,"Show of Valor resolves, deals 2 damage to Auramancer, and Shock then does nothing."
What happens when Shock resolves before Show of Valor targeting Auramancer?,"Shock deals 2 damage to Auramancer, destroying it; Show of Valor is countered because its target is gone.","Show of Valor deals damage first, then Shock is countered.","Both spells resolve simultaneously, damaging Auramancer twice.",Shock is countered because its target was removed.
Why is Show of Valor countered after Shock has resolved?,"Because its only target, Auramancer, has been destroyed and is no longer on the battlefield.",Because Shock has a global effect that nullifies all other spells.,Because Show of Valor can only resolve during a creature’s turn.,Because Shock grants all other spells a +1/+1 counter.
"If Shock is cast after Show of Valor, which spell will resolve first?","Shock, because it goes on the stack on top of Show of Valor.","Show of Valor, because it was cast first.","They resolve in the order they were cast, so Show of Valor goes first.",The spell with the lower mana cost always resolves first.
What is the result of Show of Valor resolving when its target is already gone?,The spell is countered and has no effect.,The spell deals damage to all creatures on the battlefield.,The spell triggers an additional damage step.,The spell creates a token copy of the missing creature.
What happens to Show of Valor if its only target has left the battlefield before the spell resolves?,"It resolves, but because it has no legal target, it is countered and does nothing.",It still deals damage to the missing target.,It creates a copy of the missing target.,It deals damage to the nearest creature on the battlefield.
Which of the following are the three types of abilities a permanent can have?,"static abilities, triggered abilities, activated abilities","continuous abilities, passive abilities, instantaneous abilities","reactive abilities, proactive abilities, dormant abilities","automatic abilities, manual abilities, optional abilities"
What characterizes a static ability?,It is text that is always true while the card is on the battlefield.,It must be activated each turn by paying a cost.,It triggers when a specific event occurs.,It is only active during a particular phase of the game.
What is a static ability in Magic: The Gathering?,A static ability is text that is always true while the card is on the battlefield.,It must be activated each turn to take effect.,It triggers when the card enters the battlefield.,It is a keyword ability that requires paying mana.
What does Imposing Sovereign’s static ability do?,Creatures your opponents control enter the battlefield tapped.,It gives you an extra life each turn.,It allows you to tap any creature you control.,It makes your opponent lose 1 life whenever a creature enters the battlefield.
What is a static ability?,It is a text that is always true while the card is on the battlefield.,It requires you to pay a cost to use it.,It triggers whenever a creature enters the battlefield.,It is an ability that can be activated only during your turn.
Which of the following best describes a static ability?,It does what it says without activation.,It triggers when a condition is met.,It is activated by paying mana.,It is only relevant while the card is in the graveyard.
Give an example of a static ability.,Creatures your opponents control enter the battlefield tapped.,"When you cast this spell, you may draw two cards.","If you cast this creature, you may tap an opponent's creature.","When you tap this creature, you may put a +1/+1 counter on it."
What is a triggered ability in Magic?,A triggered ability is text that happens when a specific event occurs in the game.,A triggered ability is a spell that the player chooses to cast.,A triggered ability is an activated ability that requires mana.,A triggered ability is a static ability that changes the game state.
Which words indicate the start of a triggered ability’s text?,"When, whenever, or at.","Activate, trigger, or respond.","Begin, start, or instant.","Cast, play, or use."
Can a player activate a triggered ability?,"No, you don’t activate a triggered ability; it triggers automatically.","Yes, you activate it by paying its cost.","Yes, you activate it when you cast a spell.","Yes, you activate it after it resolves."
"If a triggered ability targets something but there is no legal target, what happens?",The ability will do nothing.,The ability fails to trigger.,The ability becomes a spell.,The ability is replaced by a static effect.
"If a triggered ability triggers but its source leaves the battlefield, will it still resolve?","Yes, it will still resolve.","No, it will be cancelled.",It only resolves if you pay an additional cost.,It becomes a permanent on the battlefield instead.
Where does a triggered ability go after it triggers?,on the stack just like a spell,into the graveyard immediately,onto the battlefield as a creature,back to the hand of its controller
What happens to a triggered ability if the permanent it originated from leaves the battlefield before the ability resolves?,It still resolves normally.,It is discarded and never resolves.,It is moved to the owner’s hand.,It changes to a continuous effect instead.
Is it possible to delay or ignore a triggered ability once it has been put on the stack?,"No, you cannot delay or ignore it.","Yes, you can choose to postpone it until your next turn.",Only the controller can choose to ignore it.,It can be ignored only if the opponent’s life total is 5 or less.
"If a triggered ability targets something but there is no legal target available, what is the outcome?",The ability does nothing.,The ability is redirected to the nearest legal target.,The ability still resolves but deals no damage.,The ability becomes an instant that can be cast again.
What is the effect of Messenger Drake’s triggered ability?,Draw a card when Messenger Drake dies.,Gain 3 life whenever it attacks.,Prevent all damage dealt to it for one turn.,Destroy all creatures with less than 3 power.
What keyword ability does Messenger Drake possess?,Flying,Haste,Deathtouch,Lifelink
